Iteration,Passengers' mean utility,Vehicles' mean utility,% Interested passengers,% Matched passengers,% Matched Vehicles,Interested passengers,Matched passengers,Matched Vehicles,Total Vehicles
1,0.0,[D@5d0a1059,0.0%,0.0%,0.0%,0,0,0,3
2,0.0,[D@485966cc,0.0%,0.0%,0.0%,0,0,0,3
3,0.0,[D@1de76cc7,0.0%,0.0%,0.0%,0,0,0,3
4,0.0,[D@54bff557,0.0%,0.0%,0.0%,0,0,0,3
5,0.0,[D@593aaf41,0.0%,0.0%,0.0%,0,0,0,3
6,0.0,[D@5a56cdac,0.0%,0.0%,0.0%,0,0,0,3
7,0.0,[D@7c711375,0.0%,0.0%,0.0%,0,0,0,3
8,0.0,[D@57cf54e1,0.0%,0.0%,0.0%,0,0,0,3
9,0.0,[D@5b03b9fe,0.0%,0.0%,0.0%,0,0,0,3
10,0.0,[D@37d4349f,0.0%,0.0%,0.0%,0,0,0,3
11,0.0,[D@434a63ab,0.0%,0.0%,0.0%,0,0,0,3
12,0.0,[D@6e0f5f7f,0.0%,0.0%,0.0%,0,0,0,3
13,0.0,[D@2805d709,0.0%,0.0%,0.0%,0,0,0,3
14,0.0,[D@3ee37e5a,0.0%,0.0%,0.0%,0,0,0,3
15,0.0,[D@2ea41516,0.0%,0.0%,0.0%,0,0,0,3
16,0.0,[D@3a44431a,0.0%,0.0%,0.0%,0,0,0,3
17,0.0,[D@3c7f66c4,0.0%,0.0%,0.0%,0,0,0,3
18,0.0,[D@194bcebf,0.0%,0.0%,0.0%,0,0,0,3
19,0.0,[D@17497425,0.0%,0.0%,0.0%,0,0,0,3
20,0.0,[D@f0da945,0.0%,0.0%,0.0%,0,0,0,3
21,0.0,[D@4803b726,0.0%,0.0%,0.0%,0,0,0,3
22,0.0,[D@ffaa6af,0.0%,0.0%,0.0%,0,0,0,3
23,0.0,[D@53ce1329,0.0%,0.0%,0.0%,0,0,0,3
24,0.0,[D@316bcf94,0.0%,0.0%,0.0%,0,0,0,3
25,0.0,[D@6404f418,0.0%,0.0%,0.0%,0,0,0,3
26,0.0,[D@3e11f9e9,0.0%,0.0%,0.0%,0,0,0,3
27,0.0,[D@1de5f259,0.0%,0.0%,0.0%,0,0,0,3
28,0.0,[D@729d991e,0.0%,0.0%,0.0%,0,0,0,3
29,0.0,[D@31fa1761,0.0%,0.0%,0.0%,0,0,0,3
30,0.0,[D@957e06,0.0%,0.0%,0.0%,0,0,0,3
31,0.0,[D@32502377,0.0%,0.0%,0.0%,0,0,0,3
32,0.0,[D@2c1b194a,0.0%,0.0%,0.0%,0,0,0,3
33,0.0,[D@4dbb42b7,0.0%,0.0%,0.0%,0,0,0,3
34,0.0,[D@66f57048,0.0%,0.0%,0.0%,0,0,0,3
35,0.0,[D@550dbc7a,0.0%,0.0%,0.0%,0,0,0,3
36,0.0,[D@21282ed8,0.0%,0.0%,0.0%,0,0,0,3
37,0.0,[D@36916eb0,0.0%,0.0%,0.0%,0,0,0,3
38,0.0,[D@7bab3f1a,0.0%,0.0%,0.0%,0,0,0,3
39,0.0,[D@437da279,0.0%,0.0%,0.0%,0,0,0,3
40,0.0,[D@23c30a20,0.0%,0.0%,0.0%,0,0,0,3
41,0.0,[D@1e1a0406,0.0%,0.0%,0.0%,0,0,0,3
42,0.0,[D@3cebbb30,0.0%,0.0%,0.0%,0,0,0,3
43,0.0,[D@12aba8be,0.0%,0.0%,0.0%,0,0,0,3
44,0.0,[D@290222c1,0.0%,0.0%,0.0%,0,0,0,3
45,0.0,[D@67f639d3,0.0%,0.0%,0.0%,0,0,0,3
46,0.0,[D@6253c26,0.0%,0.0%,0.0%,0,0,0,3
47,0.0,[D@49049a04,0.0%,0.0%,0.0%,0,0,0,3
48,0.0,[D@71a8adcf,0.0%,0.0%,0.0%,0,0,0,3
49,0.0,[D@27462a88,0.0%,0.0%,0.0%,0,0,0,3
50,0.0,[D@82de64a,0.0%,0.0%,0.0%,0,0,0,3
51,0.0,[D@659499f1,0.0%,0.0%,0.0%,0,0,0,3
52,0.0,[D@51e69659,0.0%,0.0%,0.0%,0,0,0,3
53,0.0,[D@47e2e487,0.0%,0.0%,0.0%,0,0,0,3
54,0.0,[D@201a4587,0.0%,0.0%,0.0%,0,0,0,3
55,0.0,[D@61001b64,0.0%,0.0%,0.0%,0,0,0,3
56,0.0,[D@4310d43,0.0%,0.0%,0.0%,0,0,0,3
57,0.0,[D@54a7079e,0.0%,0.0%,0.0%,0,0,0,3
58,0.0,[D@26e356f0,0.0%,0.0%,0.0%,0,0,0,3
59,0.0,[D@47d9a273,0.0%,0.0%,0.0%,0,0,0,3
60,0.0,[D@4b8ee4de,0.0%,0.0%,0.0%,0,0,0,3
61,0.0,[D@27f981c6,0.0%,0.0%,0.0%,0,0,0,3
62,0.0,[D@1b11171f,0.0%,0.0%,0.0%,0,0,0,3
63,0.0,[D@1151e434,0.0%,0.0%,0.0%,0,0,0,3
64,0.0,[D@2dc54ad4,0.0%,0.0%,0.0%,0,0,0,3
65,0.0,[D@4659191b,0.0%,0.0%,0.0%,0,0,0,3
66,0.0,[D@55634720,0.0%,0.0%,0.0%,0,0,0,3
67,0.0,[D@4b0d79fc,0.0%,0.0%,0.0%,0,0,0,3
68,0.0,[D@4c1909a3,0.0%,0.0%,0.0%,0,0,0,3
69,0.0,[D@428640fa,0.0%,0.0%,0.0%,0,0,0,3
70,0.0,[D@d9345cd,0.0%,0.0%,0.0%,0,0,0,3
71,0.0,[D@2d710f1a,0.0%,0.0%,0.0%,0,0,0,3
72,0.0,[D@29215f06,0.0%,0.0%,0.0%,0,0,0,3
73,0.0,[D@59505b48,0.0%,0.0%,0.0%,0,0,0,3
74,0.0,[D@4efac082,0.0%,0.0%,0.0%,0,0,0,3
75,0.0,[D@6bd61f98,0.0%,0.0%,0.0%,0,0,0,3
76,0.0,[D@48aca48b,0.0%,0.0%,0.0%,0,0,0,3
77,0.0,[D@13fd2ccd,0.0%,0.0%,0.0%,0,0,0,3
78,0.0,[D@b9b00e0,0.0%,0.0%,0.0%,0,0,0,3
79,0.0,[D@506ae4d4,0.0%,0.0%,0.0%,0,0,0,3
80,0.0,[D@7d4f9aae,0.0%,0.0%,0.0%,0,0,0,3
81,0.0,[D@72e5a8e,0.0%,0.0%,0.0%,0,0,0,3
82,0.0,[D@54e1c68b,0.0%,0.0%,0.0%,0,0,0,3
83,0.0,[D@53aac487,0.0%,0.0%,0.0%,0,0,0,3
84,0.0,[D@52b1beb6,0.0%,0.0%,0.0%,0,0,0,3
85,0.0,[D@273e7444,0.0%,0.0%,0.0%,0,0,0,3
86,0.0,[D@7db12bb6,0.0%,0.0%,0.0%,0,0,0,3
87,0.0,[D@783a467b,0.0%,0.0%,0.0%,0,0,0,3
88,0.0,[D@272113c4,0.0%,0.0%,0.0%,0,0,0,3
89,0.0,[D@73e9cf30,0.0%,0.0%,0.0%,0,0,0,3
90,0.0,[D@771a660,0.0%,0.0%,0.0%,0,0,0,3
91,0.0,[D@2d52216b,0.0%,0.0%,0.0%,0,0,0,3
92,0.0,[D@242b836,0.0%,0.0%,0.0%,0,0,0,3
93,0.0,[D@3f6f6701,0.0%,0.0%,0.0%,0,0,0,3
94,0.0,[D@3527942a,0.0%,0.0%,0.0%,0,0,0,3
95,0.0,[D@942a29c,0.0%,0.0%,0.0%,0,0,0,3
96,0.0,[D@1ed6388a,0.0%,0.0%,0.0%,0,0,0,3
97,0.0,[D@5a45133e,0.0%,0.0%,0.0%,0,0,0,3
98,0.0,[D@534a5a98,0.0%,0.0%,0.0%,0,0,0,3
99,0.0,[D@4f80542f,0.0%,0.0%,0.0%,0,0,0,3
100,0.0,[D@60bd273d,0.0%,0.0%,0.0%,0,0,0,3
