Iteration,Cheesecake,Profiterole,Mudcake
1,0,30,20
2,0,31,21
3,0,31,20
4,0,31,21
5,0,31,21
6,0,31,21
7,0,30,20
8,0,31,21
9,0,31,21
10,0,31,20
