Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,0.32265848138880593,16,16.0%,16,16.0%,18,NaN,0,0.0,1.5583371781594935,9,100.0,3.0401355892408595,7,100.0
2,0.3038294313829989,19,19.0%,13,13.0%,17,NaN,0,0.0,2.538054463867432,9,100.0,1.6797512378934059,4,0.0
3,0.3322091899950958,30,30.0%,11,11.0%,16,NaN,0,0.0,2.9698096934912392,8,100.0,1.8924882903159328,3,0.0
4,0.32357137730795027,30,30.0%,10,10.0%,15,NaN,0,0.0,3.5694141784283997,9,100.0,0.950456075841956,1,0.0
5,0.23919812000841215,27,27.0%,9,9.0%,14,NaN,0,0.0,2.8174868591026008,8,100.0,0.4599723760068031,1,0.0
6,0.17625856452918412,31,31.0%,9,9.0%,13,NaN,0,0.0,2.2032320566148016,9,100.0,0.0,0,0.0
7,0.10827781507113404,6,6.0%,6,6.0%,12,NaN,0,0.0,1.3534726883891754,6,0.0,0.0,0,0.0
8,0.24687602311067722,23,23.0%,8,8.0%,10,NaN,0,0.0,3.5268003301525317,8,100.0,NaN,0,0.0
9,0.2639433145102461,29,28.999999999999996%,8,8.0%,10,NaN,0,0.0,3.7706187787178016,8,100.0,NaN,0,0.0
10,0.15913368532687688,10,10.0%,7,7.000000000000001%,10,NaN,0,0.0,2.273338361812527,7,100.0,NaN,0,0.0
