Iteration,Passenger_ID,X,Y,Utility,Neighbours,Interest
20,1,408,364,0.0,0,0,1
20,2,547,386,0.0,0,0,1
20,3,458,470,0.0,0,0,1
20,4,526,580,0.0,0,0,1
20,5,429,480,0.0,0,0,1
20,6,477,660,0.0,1,0,2
20,7,299,258,0.0,0,0,2
20,8,574,664,0.0,0,0,2
20,9,511,694,0.0,1,0,2
20,10,325,261,0.0,0,0,2
20,11,417,500,0.0,0,0,2
20,12,502,603,0.0,1,0,2
20,13,462,550,0.0,0,0,2
20,14,678,522,0.0,0,0,2
20,15,209,812,0.0,0,0,2
20,16,455,468,0.0,0,0,2
20,17,539,409,0.0,0,0,2
20,18,393,476,0.0,0,0,2
20,19,607,498,0.0,0,0,2
20,20,421,523,0.0,0,0,2
20,21,527,523,0.0,0,0,2
20,22,277,508,0.0,0,0,2
20,23,493,665,0.0,1,0,2
20,24,427,568,0.0,1,0,2
20,25,496,413,0.0,0,0,2
20,26,560,688,0.0,0,0,2
20,27,404,345,0.0,0,0,2
20,28,459,419,0.0,0,0,2
20,29,386,545,0.0,0,0,2
20,30,380,450,0.0,0,0,2
20,31,568,707,0.0,0,0,3
20,32,400,739,0.0,1,0,3
20,33,593,420,0.0,0,0,3
20,34,428,327,0.0,0,0,3
20,35,412,515,0.0,0,0,3
20,36,402,626,0.0,0,0,3
20,37,657,415,0.0,0,0,3
20,38,515,502,0.0,0,0,3
20,39,841,375,0.0,0,0,3
20,40,500,602,0.0,0,0,3
20,41,569,306,0.0,0,0,3
20,42,629,482,0.0,0,0,3
20,43,641,537,0.0,0,0,3
20,44,524,525,0.0,0,0,3
20,45,458,601,0.0,0,0,3
20,46,515,488,0.0,0,0,3
20,47,509,782,0.0,0,0,3
20,48,676,514,0.0,0,0,3
20,49,738,325,0.0,0,0,3
20,50,425,813,0.0,1,0,3

