Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,0.686057075767995,11,22.0%,11,22.0%,53,NaN,0,0.0,0.890979044649598,8,0.0,0.37867412244559034,3,0.0
2,1.1242661817148119,18,36.0%,18,36.0%,48,NaN,0,0.0,1.5756894414820124,13,0.0,0.7594274536514592,5,0.0
3,0.9362050035150069,21,42.0%,20,40.0%,43,NaN,0,0.0,1.4191778007634328,15,0.0,0.7968739348392482,5,0.0
4,0.7672033228127044,16,32.0%,16,32.0%,38,NaN,0,0.0,1.2711372161113073,11,0.0,0.8333060430212694,5,0.0
5,0.6677436010393301,14,28.000000000000004%,14,28.000000000000004%,33,NaN,0,0.0,1.504237816677454,10,0.0,0.5259082793143611,4,0.0
6,0.48320182548758545,11,22.0%,10,20.0%,29,NaN,0,0.0,1.2931633788050418,9,0.0,0.3469477213498603,1,0.0
7,0.3670809082428436,6,12.0%,6,12.0%,26,NaN,0,0.0,0.9755845384755066,5,0.0,0.521762430387232,1,0.0
8,0.1380025835835925,4,8.0%,3,6.0%,23,NaN,0,0.0,0.4613384143099328,2,0.0,0.17050852593255392,1,0.0
9,0.06017538449652024,1,2.0%,1,2.0%,20,NaN,0,0.0,0.30087692248260123,1,0.0,0.0,0,0.0
10,0.03735017956929166,1,2.0%,1,2.0%,18,NaN,0,0.0,0.20750099760717589,1,0.0,0.0,0,0.0
