Iteration,Cheesecake,Profiterole,Mucake
1,0,20,22
2,0,19,25
3,0,20,24
4,0,19,25
5,0,20,24
6,0,20,24
7,0,19,25
8,0,21,23
9,0,20,24
10,1,24,19
11,1,22,21
12,1,24,20
13,1,22,22
14,1,23,21
15,1,23,21
16,1,23,22
17,1,23,22
18,1,24,21
19,1,24,21
20,1,27,18
21,1,26,19
22,1,27,18
23,1,27,18
24,1,27,18
25,1,26,19
26,1,25,20
27,2,25,19
28,2,25,19
29,2,25,19
30,2,24,20
31,2,25,19
32,2,25,19
33,2,25,19
34,2,25,19
35,2,25,19
36,2,24,20
37,2,25,19
38,2,25,19
39,2,24,20
40,2,24,20
41,2,24,20
42,2,23,21
43,2,23,21
44,2,22,22
45,2,22,22
46,2,21,23
47,2,21,23
48,2,22,22
49,2,22,22
50,2,21,23
51,2,21,23
52,2,20,24
53,2,20,24
54,2,19,25
55,2,19,25
56,2,19,25
57,2,19,25
58,2,19,25
59,2,19,25
60,2,19,25
61,2,18,26
62,2,18,26
63,2,18,26
64,2,18,26
65,2,18,26
66,2,18,26
67,2,16,28
68,2,16,28
69,2,16,28
70,2,17,27
71,2,17,27
72,2,17,27
73,2,17,27
74,2,17,27
75,2,17,27
76,2,18,26
77,2,18,26
78,2,18,26
79,1,18,27
80,1,18,27
81,1,18,27
82,1,18,27
83,1,18,27
84,1,18,27
85,1,18,27
86,1,18,27
87,1,18,27
88,1,18,27
89,2,17,27
90,2,17,27
91,3,17,26
92,3,17,26
93,3,17,26
94,3,17,26
95,2,17,27
96,2,17,27
97,2,17,27
98,2,16,28
99,2,15,29
100,2,15,29
