Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,1.4925141242133049,83,83.0%,50,50.0%,53,NaN,0,0.0,3.054945360718819,30,100.0,2.8801525799882954,20,100.0
2,1.5727228659716084,89,89.0%,52,52.0%,53,NaN,0,0.0,3.1080220683867728,31,100.0,3.2015812272778823,21,100.0
3,1.402964537656666,85,85.0%,51,51.0%,53,NaN,0,0.0,2.9541544701051405,31,100.0,2.583590983125617,20,100.0
4,1.492966140459698,86,86.0%,50,50.0%,53,NaN,0,0.0,3.350003486053731,31,100.0,2.4398254732178937,19,0.0
5,1.5097527351634303,90,90.0%,52,52.0%,53,NaN,0,0.0,3.047894576565514,31,100.0,2.97692181096888,21,100.0
6,1.6987420138194438,87,87.0%,52,52.0%,53,NaN,0,0.0,3.601531578164239,31,100.0,3.0914127018508615,21,100.0
7,1.7127041759445394,86,86.0%,53,53.0%,56,NaN,0,0.0,3.469346828259806,34,100.0,2.839098613094018,19,0.0
8,1.639898055408037,90,90.0%,53,53.0%,56,NaN,0,0.0,3.222231136596374,33,100.0,2.8828089016561655,20,100.0
9,1.7047356860904261,89,89.0%,54,54.0%,56,NaN,0,0.0,3.502406162996052,34,100.0,2.7447082615086433,20,100.0
10,1.7268525529192622,91,91.0%,56,56.00000000000001%,59,NaN,0,0.0,3.1016046799752113,36,100.0,3.051374340640934,20,100.0
