Iteration,Cheesecake,Profiterole,Mudcake
1,0,30,20
2,0,31,21
3,0,31,20
4,0,31,19
5,0,31,21
6,0,31,21
7,0,34,19
8,0,33,20
9,0,34,20
10,0,36,20
