Iteration,Passengers' mean utility,Vehicles' mean utility,% Interested passengers,% Matched passengers,% Matched Vehicles,Interested passengers,Matched passengers,Matched Vehicles,Total Vehicles
1,3.2375450309886524,[D@72cf2de5,86.0%,86.0%,30.49645390070922%,43,43,43,141
2,3.661386854073231,[D@2bb7bd00,86.0%,86.0%,25.294117647058822%,43,43,43,170
3,3.904211616917001,[D@5f031ebd,90.0%,90.0%,28.846153846153843%,45,45,45,156
4,4.072434258172867,[D@4ee37ca3,92.0%,92.0%,29.11392405063291%,46,46,46,158
5,4.160398415009912,[D@45c8d09f,94.0%,94.0%,29.559748427672954%,47,47,47,159
6,4.224995136115165,[D@53812a9b,94.0%,94.0%,29.375%,47,47,47,160
7,4.253925744206378,[D@14b030a0,94.0%,94.0%,29.375%,47,47,47,160
8,4.289287944730312,[D@41e350f1,94.0%,94.0%,27.647058823529413%,47,47,47,170
9,4.347135135515431,[D@422c3c7a,94.0%,94.0%,27.647058823529413%,47,47,47,170
10,4.363764807195346,[D@18230356,94.0%,94.0%,27.647058823529413%,47,47,47,170
11,4.382957484685842,[D@d8305c2,94.0%,94.0%,25.82417582417583%,47,47,47,182
12,4.393474211541373,[D@56bca85b,94.0%,94.0%,25.82417582417583%,47,47,47,182
13,4.484186979340737,[D@75d0911a,96.0%,96.0%,26.373626373626376%,48,48,48,182
14,4.487330616491601,[D@75e91545,96.0%,96.0%,26.229508196721312%,48,48,48,183
15,4.498417234636472,[D@60d1a32f,96.0%,96.0%,26.229508196721312%,48,48,48,183
16,4.510686878320979,[D@531c311e,96.0%,96.0%,26.229508196721312%,48,48,48,183
17,4.510686878320979,[D@22b53226,96.0%,96.0%,26.229508196721312%,48,48,48,183
18,4.510686878320979,[D@1fcb4808,96.0%,96.0%,26.229508196721312%,48,48,48,183
19,4.517324598485413,[D@726e5805,96.0%,96.0%,26.229508196721312%,48,48,48,183
20,4.535535404053698,[D@40c80397,96.0%,96.0%,26.229508196721312%,48,48,48,183
21,4.547020610317693,[D@4b672daa,96.0%,96.0%,26.229508196721312%,48,48,48,183
22,4.554517909412484,[D@ea9b7c6,96.0%,96.0%,26.229508196721312%,48,48,48,183
23,4.566842694516612,[D@e077866,96.0%,96.0%,26.229508196721312%,48,48,48,183
24,4.56872973216473,[D@ed3068a,96.0%,96.0%,26.229508196721312%,48,48,48,183
25,4.572713864240026,[D@7c2b6087,96.0%,96.0%,26.229508196721312%,48,48,48,183
26,4.572713864240026,[D@3fffff43,96.0%,96.0%,26.229508196721312%,48,48,48,183
27,4.595332039166209,[D@a8e6492,96.0%,96.0%,26.229508196721312%,48,48,48,183
28,4.597492765220111,[D@1c7fd41f,96.0%,96.0%,26.229508196721312%,48,48,48,183
29,4.6058767789609,[D@3b77a04f,96.0%,96.0%,26.229508196721312%,48,48,48,183
30,4.606288111498165,[D@7b324585,96.0%,96.0%,26.229508196721312%,48,48,48,183
31,4.606288111498165,[D@2e11485,96.0%,96.0%,26.229508196721312%,48,48,48,183
32,4.606288111498165,[D@60dce7ea,96.0%,96.0%,26.229508196721312%,48,48,48,183
33,4.610443816448713,[D@662f5666,96.0%,96.0%,26.229508196721312%,48,48,48,183
