Iteration,Cheesecake,Profiterole,Mudcake
1,0,13,9
2,0,13,9
3,0,13,4
4,0,13,7
5,0,13,8
6,0,13,8
7,0,12,4
8,0,11,7
9,0,10,5
10,0,11,6
