Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,0.23966335307681547,13,13.0%,11,11.0%,18,NaN,0,0.0,1.9529998688850465,9,100.0,1.0648894146193546,2,0.0
2,0.44113752875512335,33,33.0%,15,15.0%,16,NaN,0,0.0,3.9801620804798112,9,100.0,2.4544912463347694,6,100.0
3,0.2054969382108968,16,16.0%,10,10.0%,16,NaN,0,0.0,2.0581428317443415,8,100.0,0.8169102334269891,2,0.0
4,0.3526954287882238,28,28.000000000000004%,10,10.0%,15,NaN,0,0.0,3.921653735194323,9,100.0,0.9740782493169485,1,0.0
5,0.17430983433705807,10,10.0%,8,8.0%,14,NaN,0,0.0,1.959653908468045,7,0.0,0.5845840553204821,1,0.0
6,0.17620110686115406,12,12.0%,7,7.000000000000001%,12,NaN,0,0.0,2.5171586694450583,7,100.0,0.0,0,0.0
7,0.17113612224192123,15,15.0%,7,7.000000000000001%,11,NaN,0,0.0,2.4448017463131606,7,100.0,0.0,0,0.0
8,0.20742058020369852,23,23.0%,8,8.0%,10,NaN,0,0.0,2.963151145767122,8,100.0,NaN,0,0.0
9,0.13072233158034194,14,14.000000000000002%,7,7.000000000000001%,10,NaN,0,0.0,1.8674618797191704,7,100.0,NaN,0,0.0
10,0.19652176513698094,11,11.0%,7,7.000000000000001%,9,NaN,0,0.0,3.2753627522830158,7,100.0,NaN,0,0.0
