Iteration,Cheesecake,Profiterole,Mudcake
1,0,9,2
2,0,9,6
3,0,8,2
4,0,9,1
5,0,7,1
6,0,7,0
7,0,7,0
8,0,8,0
9,0,7,0
10,0,7,0
