Iteration,Cheesecake,Profiterole,Mudcake
1,0,11,5
2,0,11,6
3,0,10,2
4,0,10,3
5,0,10,3
6,0,10,2
7,0,11,1
8,0,12,1
9,0,11,1
10,0,11,0
