Iteration,Cheesecake,Profiterole,Mudcake
1,0,10,6
2,0,11,7
3,0,11,7
4,0,11,8
5,0,11,7
6,0,11,7
7,0,11,7
8,0,12,8
9,0,12,4
10,0,12,6
