Iteration,Cheesecake,Profiterole,Mudcake
1,0,8,4
2,0,7,4
3,0,10,3
4,0,11,1
5,0,8,2
6,0,5,2
7,0,3,0
8,0,2,1
9,0,1,1
10,0,0,1
