Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,0.8086636226386141,12,24.0%,12,24.0%,53,NaN,0,0.0,0.8382069035108015,8,0.0,0.7643487013303335,4,0.0
2,0.6128242417252044,12,24.0%,11,22.0%,48,NaN,0,0.0,0.5811255541807575,7,0.0,0.830601229076654,4,0.0
3,0.5378478706545482,14,28.000000000000004%,13,26.0%,43,NaN,0,0.0,1.0140684839792034,10,0.0,0.15967186982665782,3,0.0
4,0.5996725603580881,12,24.0%,12,24.0%,38,NaN,0,0.0,1.265476717342303,11,0.0,0.2434726395511461,1,0.0
5,0.5407329286019614,11,22.0%,10,20.0%,33,NaN,0,0.0,1.1421424425483515,8,0.0,0.539840205352312,2,0.0
6,0.1709924505986585,8,16.0%,7,14.000000000000002%,29,NaN,0,0.0,0.4230113878621094,5,0.0,0.17814403241391757,2,0.0
7,0.20116403370265615,3,6.0%,3,6.0%,26,NaN,0,0.0,0.7184429775094863,3,0.0,0.0,0,0.0
8,0.1530327204922207,3,6.0%,3,6.0%,23,NaN,0,0.0,0.3448535749452404,2,0.0,0.4391741406585187,1,0.0
9,0.08870502621276444,2,4.0%,2,4.0%,20,NaN,0,0.0,0.06721829983235196,1,0.0,0.5375811874735289,1,0.0
10,0.07897620395837136,1,2.0%,1,2.0%,18,NaN,0,0.0,0.0,0,0.0,0.6581350329864281,1,0.0
