Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,1.3012457644334718,82,82.0%,42,42.0%,43,NaN,0,0.0,3.096174541619255,25,100.0,3.488524215280316,17,100.0
2,1.2544148881017116,84,84.0%,41,41.0%,43,NaN,0,0.0,2.9918832019103365,25,100.0,3.352268247770196,16,100.0
3,1.080259008927175,90,90.0%,42,42.0%,43,NaN,0,0.0,2.8368004413662686,25,100.0,2.4964181437454434,17,100.0
4,1.177992677120392,83,83.0%,41,41.0%,43,NaN,0,0.0,2.9051637149717684,25,100.0,3.0047086595447983,16,100.0
5,1.1204923849150774,91,91.0%,42,42.0%,43,NaN,0,0.0,3.0445544467117744,25,100.0,2.436245735651573,17,100.0
6,1.3244658573614252,85,85.0%,42,42.0%,43,NaN,0,0.0,3.085369671818212,25,100.0,3.64985710078159,17,100.0
7,1.1526832551423707,85,85.0%,43,43.0%,44,NaN,0,0.0,2.7869303498217963,25,100.0,2.845999830500821,18,100.0
8,1.2749596555662464,90,90.0%,43,43.0%,44,NaN,0,0.0,3.1951512966174858,25,100.0,2.9889608492826456,18,100.0
9,1.2715225087443711,89,89.0%,42,42.0%,44,NaN,0,0.0,3.2088109680571892,25,100.0,2.9494580965332102,17,100.0
10,1.1924410605776445,88,88.0%,43,43.0%,44,NaN,0,0.0,2.9879159105715254,25,100.0,2.796124953179284,18,100.0
