Iteration,Passenger_ID,X,Y,Utility,Neighbours,Interest
100,1,416,554,0.0,0,0,1
100,2,433,633,0.0,0,0,1
100,3,504,527,0.0,1,0,1
100,4,440,514,0.0,1,0,1
100,5,484,437,0.0,1,0,1
100,6,462,441,4.95,23,1,2
100,7,449,581,4.888196601125011,20,1,2
100,8,535,254,4.730741759643275,6,1,2
100,9,832,493,0.0,1,0,2
100,10,705,598,4.8197224362268,6,1,2
100,11,541,488,4.841886116991581,18,1,2
100,12,372,518,4.929289321881345,18,1,2
100,13,529,609,4.745049024320361,20,1,2
100,14,410,492,4.888196601125011,20,1,2
100,15,589,496,4.8197224362268,16,1,2
100,16,469,553,4.929289321881345,22,1,2
100,17,618,512,4.95,14,1,2
100,18,523,677,4.95,11,1,2
100,19,746,482,4.8197224362268,4,1,2
100,20,494,291,4.635994505535973,13,1,2
100,21,452,661,4.858578643762691,12,1,2
100,22,446,541,4.888196601125011,17,1,2
100,23,342,526,4.858578643762691,16,1,2
100,24,276,499,4.679843788128358,8,1,2
100,25,558,352,4.717157287525381,16,1,2
100,26,634,320,4.888196601125011,7,1,2
100,27,631,287,4.717157287525381,7,1,2
100,28,432,297,4.6958618734850885,12,1,2
100,29,259,323,3.7183994382023706,4,1,2
100,30,585,421,4.8197224362268,14,1,2
100,31,446,536,4.95,22,1,3
100,32,545,655,4.8,13,1,3
100,33,500,546,4.8197224362268,19,1,3
100,34,600,646,4.888196601125011,10,1,3
100,35,412,737,4.730741759643275,3,1,3
100,36,501,521,4.841886116991581,19,1,3
100,37,459,374,4.888196601125011,17,1,3
100,38,575,487,5.0,15,1,3
100,39,382,533,4.639444872453601,17,1,3
100,40,535,705,4.85,11,1,3
100,41,165,454,0.0,0,0,3
100,42,292,443,4.8,7,1,3
100,43,413,570,4.929289321881345,19,1,3
100,44,530,320,4.95,9,1,3
100,45,379,506,4.9,20,1,3
100,46,468,477,4.9,20,1,3
100,47,620,638,4.95,7,1,3
100,48,794,456,4.217376207875073,4,1,3
100,49,660,391,4.6958618734850885,10,1,3
100,50,521,723,4.85,9,1,3

