Iteration,Cheesecake,Profiterole,Mucake
1,0,25,19
2,0,28,19
3,1,22,24
4,1,22,24
5,1,22,25
6,1,22,25
7,1,17,30
8,1,18,29
9,1,18,29
10,1,18,29
11,1,18,29
12,1,19,28
13,0,22,26
14,0,20,28
15,0,18,30
16,0,20,28
17,0,22,26
18,0,22,26
19,0,21,27
20,0,21,27
21,0,21,27
22,0,21,27
23,0,21,27
24,0,21,27
25,0,21,27
26,0,20,28
27,0,21,27
28,0,22,26
29,0,23,25
30,0,23,25
31,0,23,25
32,0,23,25
33,0,24,25
34,1,24,24
35,1,25,23
36,1,25,23
37,1,25,23
38,1,25,23
39,1,25,23
40,1,25,23
41,1,25,23
42,1,25,23
43,1,25,23
44,1,26,22
45,1,26,22
46,2,25,22
47,2,25,22
48,2,25,22
49,2,25,22
50,2,25,22
51,2,25,22
52,2,25,22
53,2,25,22
54,2,25,22
55,2,25,22
56,2,25,22
57,2,24,23
58,1,24,24
59,1,25,23
60,1,25,23
61,1,25,23
62,1,24,24
63,1,25,23
64,1,25,23
65,1,25,23
66,1,25,23
67,1,25,23
68,1,24,24
69,1,24,24
70,1,24,24
71,1,24,24
72,1,24,24
73,1,23,25
74,1,23,25
75,1,22,26
76,1,22,26
77,1,22,26
78,1,22,27
79,1,23,26
80,1,23,26
81,1,23,26
82,1,23,26
83,1,23,26
84,1,23,26
85,1,22,27
86,1,22,27
87,1,22,27
88,1,22,27
89,1,22,27
90,1,22,27
91,1,22,27
92,1,21,28
93,1,21,28
94,1,21,28
95,1,21,28
96,1,21,28
97,1,21,28
98,1,21,28
99,1,21,28
100,1,20,29
