Iteration,Passengers' mean utility,Vehicles' mean utility,% Interested passengers,% Matched passengers,% Matched Vehicles,Interested passengers,Matched passengers,Matched Vehicles,Total Vehicles
1,2.9143285047273326,[D@6f3e19b3,76.0%,76.0%,24.836601307189543%,38,38,38,153
2,3.4157724505753975,[D@47ffe971,80.0%,80.0%,23.121387283236995%,40,40,40,173
3,3.5913574326302995,[D@7d04529c,84.0%,84.0%,25.766871165644172%,42,42,42,163
4,3.607764035945429,[D@14fa92af,82.0%,82.0%,25.0%,41,41,41,164
5,3.7272565226407166,[D@b16e202,84.0%,84.0%,25.609756097560975%,42,42,42,164
6,3.761600635576699,[D@339a3670,84.0%,84.0%,25.454545454545453%,42,42,42,165
7,3.813845103650036,[D@6cd5122d,84.0%,84.0%,25.454545454545453%,42,42,42,165
8,3.8808182004417575,[D@2c7a8af2,86.0%,86.0%,26.060606060606062%,43,43,43,165
9,3.9433366415639886,[D@10c07b8d,88.0%,88.0%,26.506024096385545%,44,44,44,166
10,3.931109434849648,[D@720bf653,86.0%,86.0%,25.903614457831324%,43,43,43,166
11,3.932795337854379,[D@360bc645,86.0%,86.0%,25.903614457831324%,43,43,43,166
12,4.011225761001072,[D@4edef76c,88.0%,88.0%,26.506024096385545%,44,44,44,166
13,4.013501987485556,[D@5d51e129,88.0%,88.0%,26.34730538922156%,44,44,44,167
14,4.020077853469667,[D@70c53dbe,88.0%,88.0%,26.34730538922156%,44,44,44,167
15,4.0384424432203465,[D@1894e40d,88.0%,88.0%,26.34730538922156%,44,44,44,167
16,4.05413176435562,[D@21c815e4,88.0%,88.0%,26.34730538922156%,44,44,44,167
17,4.056294042015788,[D@7342e05d,88.0%,88.0%,26.34730538922156%,44,44,44,167
18,4.14748305023889,[D@2a331b46,90.0%,90.0%,26.94610778443114%,45,45,45,167
19,4.1845121271302155,[D@15383681,90.0%,90.0%,26.785714285714285%,45,45,45,168
20,4.191097225437097,[D@743e66f7,90.0%,90.0%,26.785714285714285%,45,45,45,168
21,4.2167228877422875,[D@109a2025,92.0%,92.0%,27.380952380952383%,46,46,46,168
22,4.281064844213301,[D@2241f05b,92.0%,92.0%,27.380952380952383%,46,46,46,168
23,4.294914642311274,[D@761956ac,92.0%,92.0%,27.218934911242602%,46,46,46,169
24,4.297325243666716,[D@71978f46,92.0%,92.0%,27.218934911242602%,46,46,46,169
25,4.304734739756944,[D@304d0259,92.0%,92.0%,27.218934911242602%,46,46,46,169
26,4.32110981410901,[D@1d23ff23,92.0%,92.0%,25.41436464088398%,46,46,46,181
27,4.363725147167395,[D@2133661d,94.0%,94.0%,25.96685082872928%,47,47,47,181
28,4.376685025887175,[D@6c9320c2,94.0%,94.0%,25.82417582417583%,47,47,47,182
29,4.408475861648926,[D@3414a8c3,94.0%,94.0%,25.82417582417583%,47,47,47,182
30,4.412929485695999,[D@36cc9385,94.0%,94.0%,25.82417582417583%,47,47,47,182
31,4.415929485695999,[D@cf518cf,94.0%,94.0%,25.82417582417583%,47,47,47,182
32,4.418599502077613,[D@7915bca3,94.0%,94.0%,25.82417582417583%,47,47,47,182
33,4.427398012401105,[D@68d651f2,94.0%,94.0%,25.82417582417583%,47,47,47,182
34,4.436571779578984,[D@3ad4a7d6,94.0%,94.0%,25.82417582417583%,47,47,47,182
35,4.44040273147383,[D@1e43e323,94.0%,94.0%,25.82417582417583%,47,47,47,182
36,4.442594069186921,[D@4a67b4ec,94.0%,94.0%,25.82417582417583%,47,47,47,182
37,4.443425021081766,[D@10643593,94.0%,94.0%,25.82417582417583%,47,47,47,182
38,4.455943134585081,[D@f91da5e,94.0%,94.0%,25.82417582417583%,47,47,47,182
39,4.455943134585081,[D@eca6a74,94.0%,94.0%,25.82417582417583%,47,47,47,182
40,4.515699582243112,[D@79fd6f95,96.0%,96.0%,26.373626373626376%,48,48,48,182
41,4.516456941555992,[D@48840594,96.0%,96.0%,26.229508196721312%,48,48,48,183
