Iteration,Cheesecake,Profiterole,Mucake
1,0,17,12
2,0,17,14
3,0,18,14
4,0,18,14
5,0,19,14
6,0,19,14
7,0,19,14
8,0,19,16
9,0,20,16
10,0,20,16
11,0,20,16
12,0,20,16
13,0,21,16
14,0,21,16
15,0,22,16
16,0,22,16
17,0,23,16
18,0,23,16
19,0,23,16
20,0,23,16
21,0,23,16
22,0,23,16
23,0,23,16
24,0,23,16
25,0,23,16
26,0,23,16
27,0,23,16
28,0,23,16
29,0,23,16
30,0,23,16
31,0,23,16
32,0,23,16
33,0,23,18
34,0,23,18
35,0,23,18
36,0,23,18
37,0,23,18
38,0,23,18
39,0,23,18
40,0,23,18
41,0,23,18
42,0,23,18
43,0,23,18
44,0,24,18
45,0,24,18
46,0,24,18
47,0,24,18
48,0,24,18
49,0,24,18
50,0,24,18
51,0,24,18
52,0,24,18
53,0,24,18
54,0,24,18
55,0,24,18
56,0,24,18
57,0,24,18
58,0,24,18
59,0,24,18
60,0,24,18
61,0,24,18
62,0,24,18
63,0,24,18
64,0,24,18
65,0,24,18
66,0,24,18
67,0,24,18
68,0,24,18
69,0,24,18
70,0,24,18
71,0,24,18
72,0,24,18
73,0,24,18
74,0,24,18
75,0,24,18
76,0,24,18
77,0,24,18
78,0,24,18
79,0,24,18
80,0,24,18
81,0,24,18
82,0,24,18
83,0,24,18
84,0,24,18
85,0,24,18
86,0,24,19
87,0,24,19
88,0,24,19
89,0,24,19
90,0,24,19
91,0,24,19
92,0,24,19
93,0,24,19
94,0,24,19
95,0,24,19
96,0,24,19
97,0,24,19
98,0,24,19
99,0,24,19
100,0,24,19
