Iteration,Vehicle_ID,X,Y,Utility,Capacity,Neighbours
80,0,472,446,4.929289321881345,0,0,2
80,1,574,682,4.730741759643275,0,0,3
80,2,733,438,4.9,0,0,2
80,3,388,421,4.9,0,0,2
80,4,729,353,4.793844718719117,0,0,3
80,5,577,669,4.9,0,0,3
80,6,581,516,4.929289321881345,0,0,3
80,7,337,374,4.888196601125011,0,0,3
80,8,221,536,4.929289321881345,0,0,2
80,9,535,656,4.841886116991581,0,0,3
80,10,553,414,5.0,0,0,3
80,11,265,424,4.683772233983162,0,0,2
80,12,555,670,4.85,0,0,3
80,13,716,447,4.8197224362268,0,0,2
80,14,537,408,4.85,0,0,2
80,15,508,506,4.85,0,0,2
80,16,431,479,4.841886116991581,0,0,3
80,17,273,522,4.793844718719117,0,0,3
80,18,475,597,4.95,0,0,3
80,19,384,252,4.8,0,0,2
80,20,486,286,4.8,0,0,3
80,21,482,425,4.888196601125011,0,0,2
80,22,656,620,4.929289321881345,0,0,3
80,23,381,346,4.841886116991581,0,0,2
80,24,749,575,4.646446609406726,0,0,3
80,25,507,496,5.0,0,0,2
80,26,508,613,4.929289321881345,0,0,2
80,27,716,621,4.95,0,0,2
80,28,418,717,4.8197224362268,0,0,2
80,29,552,525,5.0,0,0,2
80,30,701,499,4.6958618734850885,0,0,3
80,31,426,673,4.95,0,0,2
80,32,576,366,4.858578643762691,0,0,3
80,33,542,418,4.9,0,0,3
80,34,219,610,4.683772233983162,0,0,2
80,35,469,706,4.929289321881345,0,0,2
80,36,575,407,4.9,0,0,2
80,37,719,546,4.929289321881345,0,0,2
80,38,345,501,4.841886116991581,0,0,3
80,39,462,434,4.95,0,0,3
80,40,260,580,4.888196601125011,0,0,2
80,41,483,528,5.0,0,0,2
80,42,497,488,4.95,0,0,2
80,43,459,249,4.8197224362268,0,0,3
80,44,288,384,4.776393202250022,0,0,2
80,45,459,594,4.888196601125011,0,0,3
80,46,302,357,0.0,1,0,1
80,47,492,605,0.0,1,0,2
80,48,552,560,0.0,1,0,2
80,49,325,690,0.0,1,0,2
80,50,409,608,0.0,1,0,2
80,51,377,469,0.0,1,0,2
80,52,282,317,0.0,1,0,2
80,53,526,544,0.0,1,0,2
80,54,496,483,0.0,1,0,2
80,55,477,683,0.0,1,0,2
80,56,562,435,0.0,1,0,2
80,57,204,390,0.0,1,0,2
80,58,398,402,0.0,1,0,2
80,59,412,147,0.0,1,0,2
80,60,497,718,0.0,1,0,2
80,61,423,544,0.0,1,0,2
80,62,573,695,0.0,1,0,2
80,63,628,479,0.0,1,0,2
80,64,604,539,0.0,1,0,2
80,65,484,566,0.0,1,0,2
80,66,550,516,0.0,1,0,2
80,67,221,409,0.0,1,0,2
80,68,503,532,0.0,1,0,2
80,69,485,236,0.0,1,0,2
80,70,384,662,0.0,1,0,2
80,71,315,314,0.0,1,0,2
80,72,441,413,0.0,1,0,2
80,73,635,467,0.0,1,0,2
80,74,412,460,0.0,1,0,2
80,75,160,454,0.0,1,0,2
80,76,568,432,0.0,1,0,2
80,77,490,546,0.0,1,0,2
80,78,690,463,0.0,1,0,2
80,79,604,659,0.0,1,0,2
80,80,571,573,0.0,1,0,2
80,81,554,334,0.0,1,0,2
80,82,625,197,0.0,1,0,2
80,83,330,781,0.0,1,0,2
80,84,449,319,0.0,1,0,2
80,85,509,362,0.0,1,0,2
80,86,660,488,0.0,1,0,2
80,87,678,430,0.0,1,0,2
80,88,570,424,0.0,1,0,2
80,89,299,645,0.0,1,0,2
80,90,554,418,0.0,1,0,2
80,91,409,188,0.0,1,0,2
80,92,510,368,0.0,1,0,2
80,93,596,414,0.0,1,0,2
80,94,365,305,0.0,1,0,2
80,95,421,764,0.0,1,0,2
80,96,606,418,0.0,1,0,2
80,97,363,847,0.0,1,0,2
80,98,618,622,0.0,1,0,2
80,99,535,634,0.0,1,0,2
80,100,383,548,0.0,1,0,2
80,101,402,367,0.0,1,0,2
80,102,399,766,0.0,1,0,2
80,103,604,562,0.0,1,0,2
80,104,584,398,0.0,1,0,2
80,105,412,334,0.0,1,0,2
80,106,550,377,0.0,1,0,2
80,107,517,635,0.0,1,0,2
80,108,252,595,0.0,1,0,2
80,109,442,418,0.0,1,0,2
80,110,430,371,0.0,1,0,2
80,111,542,579,0.0,1,0,2
80,112,447,365,0.0,1,0,2
80,113,543,146,0.0,1,0,2
80,114,611,414,0.0,1,0,2
80,115,390,514,0.0,1,0,2
