Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,0.8680077542596968,73,73.0%,32,32.0%,33,NaN,0,0.0,3.0281689384987507,19,100.0,2.6911445444160154,13,100.0
2,0.9230665236668272,76,76.0%,32,32.0%,33,NaN,0,0.0,3.1161091572136916,19,100.0,3.0180572947363538,13,100.0
3,0.8612217835121381,75,75.0%,31,31.0%,33,NaN,0,0.0,2.76400400405745,18,100.0,3.030842189848309,13,100.0
4,0.8783637354492206,77,77.0%,32,32.0%,33,NaN,0,0.0,3.449323841045365,19,100.0,2.145712033842123,13,100.0
5,0.9035274115215246,75,75.0%,30,30.0%,33,NaN,0,0.0,2.7623850339500824,17,0.0,3.385817545087584,13,100.0
6,0.7968068078583049,80,80.0%,30,30.0%,33,NaN,0,0.0,2.7114833883072604,17,0.0,2.5728316496916492,13,100.0
7,0.9238540388532397,70,70.0%,32,32.0%,33,NaN,0,0.0,3.104010554211734,19,100.0,3.04276782579273,13,100.0
8,0.833666692258552,75,75.0%,30,30.0%,33,NaN,0,0.0,2.476482665695881,18,100.0,3.2324984369441125,12,100.0
9,0.8934782514835107,77,77.0%,32,32.0%,33,NaN,0,0.0,2.822723841557662,19,100.0,3.2115663333594284,13,100.0
10,0.9029312452985764,77,77.0%,31,31.0%,33,NaN,0,0.0,3.1544658062749886,19,100.0,2.792728334742321,12,100.0
