Iteration,Cheesecake,Profiterole,Mudcake
1,0,19,13
2,0,19,13
3,0,18,13
4,0,19,13
5,0,17,13
6,0,17,13
7,0,19,13
8,0,18,12
9,0,19,13
10,0,19,12
