Iteration,Passengers' mean utility,Vehicles' mean utility,% Interested passengers,% Matched passengers,% Matched Vehicles,Interested passengers,Matched passengers,Matched Vehicles,Total Vehicles
1,2.2181833905622743,[D@429bffaa,66.0%,66.0%,26.82926829268293%,33,33,33,123
2,2.754839167537241,[D@5403f35f,70.0%,70.0%,24.647887323943664%,35,35,35,142
3,2.9152084472416435,[D@483f6d77,70.0%,70.0%,26.119402985074625%,35,35,35,134
4,3.039857972232558,[D@7e5afaa6,72.0%,72.0%,29.03225806451613%,36,36,36,124
5,3.0530064536828285,[D@63a12c68,72.0%,72.0%,28.799999999999997%,36,36,36,125
6,3.082655846750746,[D@28f3b248,72.0%,72.0%,28.799999999999997%,36,36,36,125
7,3.1190745018657617,[D@1b1426f4,72.0%,72.0%,28.799999999999997%,36,36,36,125
8,3.159208731378555,[D@32b260fa,72.0%,72.0%,28.799999999999997%,36,36,36,125
9,3.180973377021394,[D@581ac8a8,72.0%,72.0%,28.799999999999997%,36,36,36,125
10,3.2231304619819405,[D@6d4e5011,74.0%,74.0%,29.599999999999998%,37,37,37,125
11,3.309186564806357,[D@57d7f8ca,74.0%,74.0%,29.599999999999998%,37,37,37,125
12,3.318191438096903,[D@76c3e77a,74.0%,74.0%,29.365079365079367%,37,37,37,126
13,3.3280197995095455,[D@78123e82,74.0%,74.0%,27.611940298507463%,37,37,37,134
14,3.398085556411554,[D@67c33749,76.0%,76.0%,28.35820895522388%,38,38,38,134
15,3.440323505437858,[D@fba92d3,76.0%,76.0%,28.14814814814815%,38,38,38,135
16,3.5366291056392543,[D@662b4c69,78.0%,78.0%,28.888888888888886%,39,39,39,135
17,3.5366291056392543,[D@fa49800,78.0%,78.0%,28.676470588235293%,39,39,39,136
18,3.6166116459769375,[D@71238fc2,80.0%,80.0%,27.77777777777778%,40,40,40,144
19,3.6497005933809605,[D@2a54a73f,80.0%,80.0%,27.586206896551722%,40,40,40,145
20,3.652750469002081,[D@16a0ee18,80.0%,80.0%,27.586206896551722%,40,40,40,145
