Iteration,Cheesecake,Profiterole,Mucake
1,0,19,22
2,0,24,20
3,0,25,20
4,0,26,20
5,0,28,19
6,0,24,23
7,0,24,23
8,0,24,23
9,0,23,24
10,0,23,24
11,0,22,25
12,0,21,26
13,0,21,26
14,1,19,27
15,1,19,27
16,1,21,25
17,1,23,23
18,1,25,22
19,1,25,22
20,1,25,22
21,1,27,21
22,1,28,20
23,2,26,21
24,1,27,21
25,0,30,19
26,0,30,20
27,0,29,21
28,0,29,21
29,0,28,22
30,0,26,24
31,0,26,24
32,0,26,24
33,0,26,24
34,0,26,24
35,0,25,25
36,0,28,22
37,0,28,22
38,0,30,20
39,0,29,21
40,0,30,20
41,0,29,21
42,0,29,21
43,0,29,21
44,0,29,21
45,0,28,22
46,0,28,22
47,0,27,23
48,0,28,22
49,0,28,22
50,0,28,22
51,0,28,22
52,0,28,22
53,0,28,22
54,0,28,22
55,0,28,22
56,0,27,23
57,0,27,23
58,0,27,23
59,0,28,22
60,0,27,23
61,0,26,24
62,0,27,23
63,0,27,23
64,0,27,23
65,0,26,24
66,0,26,24
67,0,27,23
68,0,27,23
69,0,27,23
70,0,27,23
71,0,27,23
72,0,27,23
73,0,26,24
74,0,27,23
75,0,27,23
76,0,26,24
77,0,25,25
78,0,25,25
79,0,25,25
80,0,25,25
81,0,24,26
82,0,24,26
83,0,24,26
84,0,24,26
85,0,25,25
86,0,25,25
87,0,24,26
88,0,25,25
89,0,25,25
90,0,26,24
91,0,26,24
92,0,26,24
93,0,26,24
94,0,26,24
95,0,26,24
96,0,27,23
97,0,27,23
98,0,27,23
99,0,27,23
100,0,28,22
