Iteration,Passenger_ID,X,Y,Utility,Neighbours,Interest
1,1,451,661,0.0,0,0,1
1,2,597,706,0.0,0,0,1
1,3,498,351,0.0,0,0,1
1,4,471,561,0.0,0,0,1
1,5,511,610,0.0,0,0,1
1,6,191,398,0.0,0,0,2
1,7,475,447,0.0,0,0,2
1,8,348,455,0.0,1,0,2
1,9,434,421,0.0,0,0,2
1,10,355,553,0.0,1,0,2
1,11,692,396,0.0,0,0,2
1,12,516,537,0.0,0,0,2
1,13,544,465,0.0,0,0,2
1,14,326,455,0.0,1,0,2
1,15,466,693,0.0,0,0,2
1,16,355,541,0.0,1,0,2
1,17,412,465,0.0,1,0,2
1,18,227,614,0.0,0,0,2
1,19,532,744,0.0,0,0,2
1,20,415,557,0.0,1,0,2
1,21,453,531,0.0,1,0,2
1,22,416,562,0.0,1,0,2
1,23,748,381,0.0,0,0,2
1,24,537,699,0.0,0,0,2
1,25,444,539,0.0,1,0,2
1,26,623,424,0.0,0,0,2
1,27,396,250,0.0,0,0,2
1,28,585,289,0.0,0,0,2
1,29,641,598,0.0,0,0,2
1,30,385,583,0.0,1,0,2
1,31,672,440,0.0,0,0,3
1,32,479,247,0.0,0,0,3
1,33,313,602,0.0,0,0,3
1,34,681,355,0.0,1,0,3
1,35,510,506,0.0,0,0,3
1,36,770,432,0.0,0,0,3
1,37,530,423,0.0,0,0,3
1,38,472,580,0.0,0,0,3
1,39,585,408,0.0,0,0,3
1,40,532,634,0.0,0,0,3
1,41,467,593,0.0,0,0,3
1,42,624,323,0.0,1,0,3
1,43,497,397,0.0,0,0,3
1,44,627,620,0.0,0,0,3
1,45,466,479,0.0,0,0,3
1,46,508,414,0.0,0,0,3
1,47,184,353,0.0,0,0,3
1,48,401,633,0.0,0,0,3
1,49,317,541,0.0,0,0,3
1,50,538,419,0.0,0,0,3

