Iteration,Cheesecake,Profiterole,Mudcake
1,0,19,12
2,0,19,12
3,0,18,13
4,0,19,13
5,0,19,12
6,0,19,13
7,0,19,12
8,0,19,12
9,0,19,13
10,0,19,13
