Iteration,Cheesecake,Profiterole,Mudcake
1,0,13,8
2,0,13,9
3,0,12,7
4,0,13,9
5,0,13,9
6,0,13,7
7,0,12,7
8,0,13,8
9,0,12,8
10,0,13,7
