Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,0.495939126837837,53,53.0%,21,21.0%,23,NaN,0,0.0,2.3261731891315724,13,100.0,2.7099793017756033,8,100.0
2,0.595015548713748,58,57.99999999999999%,22,22.0%,23,NaN,0,0.0,2.6395120308628424,13,100.0,3.4784263126275854,9,100.0
3,0.531705473626613,47,47.0%,19,19.0%,23,NaN,0,0.0,2.91323933362005,12,100.0,2.276459419902587,7,0.0
4,0.5721350443323026,60,60.0%,22,22.0%,23,NaN,0,0.0,2.5773399443733904,13,100.0,3.2856781375936968,9,100.0
5,0.5732811751983333,56,56.00000000000001%,22,22.0%,23,NaN,0,0.0,3.119847641901772,13,100.0,2.486243227126509,9,100.0
6,0.5430557996952632,53,53.0%,20,20.0%,23,NaN,0,0.0,3.2699302138375637,13,100.0,1.8833021754344448,7,0.0
7,0.45325906711947106,42,42.0%,19,19.0%,22,NaN,0,0.0,2.470529271882524,12,100.0,2.239936492765259,7,100.0
8,0.49672502202233704,58,57.99999999999999%,21,21.0%,22,NaN,0,0.0,2.4169626853831576,13,100.0,2.952707139662259,8,100.0
9,0.5961412116135519,51,51.0%,20,20.0%,22,NaN,0,0.0,3.3037132580865376,12,100.0,2.852794580616677,8,100.0
10,0.5377753156030699,38,38.0%,20,20.0%,22,NaN,0,0.0,2.8160539603183854,13,100.0,2.8549834337837665,7,100.0
