Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,0.5225962772393181,51,51.0%,21,21.0%,23,NaN,0,0.0,2.051598135112302,12,100.0,3.455056262823022,9,100.0
2,0.5280324091248789,56,56.00000000000001%,22,22.0%,23,NaN,0,0.0,2.5550609844596894,13,100.0,2.767813637371453,9,100.0
3,0.5357479708619559,61,61.0%,22,22.0%,23,NaN,0,0.0,2.908198189185003,13,100.0,2.334552351996943,9,100.0
4,0.5857477505733734,52,52.0%,21,21.0%,23,NaN,0,0.0,2.9971449220561976,13,100.0,2.8261294990828705,8,100.0
5,0.4706514667386616,54,54.0%,21,21.0%,23,NaN,0,0.0,2.432402709544695,13,100.0,2.234539269916227,8,100.0
6,0.5236644980359583,54,54.0%,21,21.0%,23,NaN,0,0.0,2.339017361950027,13,100.0,3.037280182524438,8,100.0
7,0.5306719406144325,64,64.0%,22,22.0%,23,NaN,0,0.0,2.5371667570804717,13,100.0,2.8276491220596984,9,100.0
8,0.6074054397631365,58,57.99999999999999%,22,22.0%,23,NaN,0,0.0,3.1224073400478436,13,100.0,2.9089569869674405,9,100.0
9,0.48380552086530515,52,52.0%,21,21.0%,23,NaN,0,0.0,2.140015741981258,13,100.0,2.8375453978444285,8,100.0
10,0.3530279096299118,39,39.0%,19,19.0%,23,NaN,0,0.0,1.8858228733597038,13,100.0,1.584114560334343,6,0.0
