Iteration,Passenger_ID,X,Y,Utility,Neighbours,Interest
5,1,661,341,0.0,1,0,2
5,2,596,404,3.4735662477526255,4,1,2
5,3,159,437,0.0,2,0,2
5,4,276,513,0.0,5,0,2
5,5,386,515,3.0985203130193586,7,1,2
5,6,630,461,2.9405704673381026,5,1,2
5,7,519,401,3.3467834382634565,6,1,2
5,8,406,538,3.343195847421911,8,1,2
5,9,408,601,4.464976636024183,8,1,2
5,10,350,513,2.7783733436961104,7,1,2
5,11,592,406,0.0,4,1,2
5,12,409,563,2.05699983010534,9,1,2
5,13,415,474,0.21434435003938077,7,1,2
5,14,394,529,0.0,7,1,2
5,15,342,227,0.0,1,0,2
5,16,223,471,0.0,3,0,2
5,17,423,395,0.0,4,0,2
5,18,844,668,0.0,0,0,2
5,19,534,484,0.3393938162509372,10,1,2
5,20,385,611,0.9216271627032426,8,1,2
5,21,487,509,0.0,10,1,2
5,22,419,518,0.0,8,1,2
5,23,553,608,2.058805514761052,9,1,2
5,24,514,484,0.0,10,1,2
5,25,807,501,0.0,2,0,2
5,26,442,609,0.0,10,1,2
5,27,354,528,0.151675547160648,8,1,2
5,28,487,560,0.0,12,1,2
5,29,329,274,0.0,4,0,2
5,30,605,322,0.0,2,0,2
5,31,514,285,0.0,2,0,2
5,32,428,517,0.0,9,1,2
5,33,575,486,0.0,7,1,2
5,34,703,600,0.0,5,0,2
5,35,399,334,0.0,4,0,2
5,36,695,388,0.0,2,0,2
5,37,495,535,0.0,10,1,2
5,38,643,505,0.0,6,1,2
5,39,470,339,0.0,5,0,2
5,40,441,601,0.0,9,1,2
5,41,508,561,0.0,12,1,2
5,42,388,628,0.0,8,1,2
5,43,747,417,0.0,2,0,2
5,44,282,664,0.0,1,0,2
5,45,578,478,0.0,7,1,2
5,46,516,545,0.0,11,1,2
5,47,709,438,0.0,2,0,2
5,48,406,704,0.0,6,1,2
5,49,506,709,0.0,8,1,2
5,50,390,514,0.0,7,1,2
5,51,680,341,0.0,1,0,2
5,52,525,524,0.0,10,1,2
5,53,427,544,0.0,9,1,2
5,54,459,729,0.0,7,1,2
5,55,499,400,0.0,6,1,2
5,56,270,451,0.0,3,0,2
5,57,460,474,0.0,9,1,2
5,58,421,691,0.0,7,1,2
5,59,429,621,0.0,8,1,2
5,60,504,465,0.0,9,1,2
5,61,350,541,1.5014288630928199,2,1,3
5,62,396,520,1.3389721388659168,4,1,3
5,63,582,495,4.069946238113086,7,1,3
5,64,584,796,0.0,1,0,3
5,65,422,453,1.8650159490038871,5,1,3
5,66,779,602,0.0,2,0,3
5,67,452,384,1.6162151368622737,4,1,3
5,68,453,582,0.0,3,0,3
5,69,386,434,0.0,4,0,3
5,70,506,221,0.0,3,0,3
5,71,449,617,0.0,4,0,3
5,72,331,296,0.0,1,0,3
5,73,708,485,0.0,5,0,3
5,74,584,543,4.308534165703033,5,1,3
5,75,197,709,0.0,0,0,3
5,76,462,556,0.1373875334343168,6,1,3
5,77,104,578,0.0,0,0,3
5,78,530,655,0.0,5,0,3
5,79,542,750,0.0,3,0,3
5,80,355,214,0.0,1,0,3
5,81,619,674,0.0,3,0,3
5,82,604,560,0.0,5,0,3
5,83,705,413,3.038814134254481,6,1,3
5,84,299,480,0.0,1,0,3
5,85,755,640,0.0,2,0,3
5,86,625,581,0.0,4,0,3
5,87,404,554,0.0,4,0,3
5,88,417,396,0.0,4,0,3
5,89,460,621,0.0,4,0,3
5,90,586,536,0.0,6,1,3
5,91,542,573,0.0,5,0,3
5,92,640,508,0.0,7,1,3
5,93,530,461,0.0,7,1,3
5,94,456,578,0.0,4,0,3
5,95,581,498,0.0,7,1,3
5,96,574,455,0.0,8,1,3
5,97,580,288,0.0,5,0,3
5,98,661,410,0.0,6,1,3
5,99,443,502,0.0,5,0,3
5,100,669,616,0.0,4,0,3

