Iteration,Cheesecake,Profiterole,Mudcake
1,0,10,7
2,0,9,3
3,0,7,6
4,0,8,2
5,0,4,2
6,0,8,2
7,0,8,2
8,0,6,1
9,0,7,1
10,0,4,0
