Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,0.4954097990313603,37,37.0%,21,21.0%,23,NaN,0,0.0,2.764594988405453,13,100.0,2.0457300052838248,8,100.0
2,0.5345607839492429,51,51.0%,20,20.0%,23,NaN,0,0.0,3.418336150574286,13,100.0,1.554505573504107,7,0.0
3,0.4932375882913406,54,54.0%,21,21.0%,22,NaN,0,0.0,2.676781620036374,13,100.0,2.457482769813938,8,100.0
4,0.36673313362021054,41,41.0%,18,18.0%,22,NaN,0,0.0,2.122328943720388,13,100.0,1.600766576768057,5,0.0
5,0.4966972427676397,45,45.0%,19,19.0%,21,NaN,0,0.0,3.0741084307006994,12,100.0,2.1300705180592616,7,100.0
6,0.5001793383905961,49,49.0%,20,20.0%,21,NaN,0,0.0,3.0862150594476923,13,100.0,2.1638921876145516,7,100.0
7,0.4146861448959124,38,38.0%,17,17.0%,21,NaN,0,0.0,2.7577816123519123,13,100.0,1.3958725235613823,4,0.0
8,0.45819876212426747,51,51.0%,19,19.0%,20,NaN,0,0.0,3.1382701311604877,13,100.0,1.6321269277001798,6,100.0
9,0.36108580902862797,32,32.0%,14,14.000000000000002%,19,NaN,0,0.0,2.756132272014638,13,100.0,0.7587484096717855,1,0.0
10,0.3799003272210286,39,39.0%,13,13.0%,18,NaN,0,0.0,2.835067427375606,12,100.0,1.3230745311985284,1,0.0
