Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,0.19318893733670608,18,18.0%,7,7.000000000000001%,13,NaN,0,0.0,3.219815622278435,7,100.0,0.0,0,0.0
2,0.11000737968033075,4,4.0%,4,4.0%,12,NaN,0,0.0,1.8334563280055125,4,0.0,0.0,0,0.0
3,0.1615326647098532,8,8.0%,6,6.0%,10,NaN,0,0.0,3.230653294197064,6,100.0,0.0,0,0.0
4,0.07363183306340072,3,3.0%,3,3.0%,9,NaN,0,0.0,1.4726366612680144,3,0.0,0.0,0,0.0
5,0.033415003194928565,2,2.0%,2,2.0%,7,NaN,0,0.0,0.8353750798732141,2,0.0,NaN,0,0.0
6,0.021232613952602505,1,1.0%,1,1.0%,6,NaN,0,0.0,0.7077537984200836,1,0.0,NaN,0,0.0
7,0.01625648210396551,1,1.0%,1,1.0%,5,NaN,0,0.0,0.8128241051982755,1,0.0,NaN,0,0.0
8,0.0,0,0.0%,0,0.0%,4,NaN,0,0.0,0.0,0,0.0,NaN,0,0.0
9,0.0,0,0.0%,0,0.0%,3,NaN,0,0.0,NaN,0,0.0,NaN,0,0.0
10,0.0,0,0.0%,0,0.0%,3,NaN,0,0.0,NaN,0,0.0,NaN,0,0.0
