Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,0.3463266442724561,31,31.0%,11,11.0%,18,NaN,0,0.0,3.5071094687587117,10,100.0,0.5114465347362005,1,0.0
2,0.2555353757298798,31,31.0%,11,11.0%,17,NaN,0,0.0,2.394420057249616,10,100.0,0.8007514115482873,1,0.0
3,0.32315060339413776,40,40.0%,11,11.0%,16,NaN,0,0.0,3.1587659788790052,10,100.0,0.9715416323756816,1,0.0
4,0.26049565069300984,31,31.0%,10,10.0%,15,NaN,0,0.0,2.8739216116913777,9,100.0,0.06142352135952791,1,0.0
5,0.2868988149400296,33,33.0%,10,10.0%,14,NaN,0,0.0,3.1877646104447734,10,100.0,0.0,0,0.0
6,0.2563410206826269,30,30.0%,10,10.0%,13,NaN,0,0.0,2.848233563140299,10,100.0,0.0,0,0.0
7,0.12961595824200522,8,8.0%,7,7.000000000000001%,12,NaN,0,0.0,1.4401773138000582,7,0.0,NaN,0,0.0
8,0.23532153149854682,33,33.0%,8,8.0%,11,NaN,0,0.0,2.9415191437318353,8,100.0,NaN,0,0.0
9,0.2968251522213577,40,40.0%,9,9.0%,11,NaN,0,0.0,3.710314402766971,9,100.0,NaN,0,0.0
10,0.1372186511683708,11,11.0%,8,8.0%,11,NaN,0,0.0,1.7152331396046347,8,100.0,NaN,0,0.0
