Iteration,Cheesecake,Profiterole,Mudcake
1,0,10,1
2,0,10,1
3,0,10,1
4,0,9,1
5,0,10,0
6,0,10,0
7,0,7,0
8,0,8,0
9,0,9,0
10,0,8,0
