Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,0.3651290196125084,37,37.0%,10,10.0%,18,NaN,0,0.0,4.0569891068056485,10,100.0,0.0,0,0.0
2,0.247964860104156,21,21.0%,10,10.0%,17,NaN,0,0.0,2.7551651122683998,10,100.0,0.0,0,0.0
3,0.13528843121380954,10,10.0%,8,8.0%,16,NaN,0,0.0,1.5032047912645503,8,0.0,0.0,0,0.0
4,0.19065942575334793,12,12.0%,7,7.000000000000001%,14,NaN,0,0.0,2.3832428219168493,7,0.0,0.0,0,0.0
5,0.18664382942347807,20,20.0%,8,8.0%,13,NaN,0,0.0,2.333047867793476,8,100.0,0.0,0,0.0
6,0.27841131297726657,22,22.0%,8,8.0%,12,NaN,0,0.0,3.4801414122158323,8,100.0,0.0,0,0.0
7,0.22769135177810296,26,26.0%,8,8.0%,11,NaN,0,0.0,2.846141897226287,8,100.0,NaN,0,0.0
8,0.21395527342164694,42,42.0%,9,9.0%,11,NaN,0,0.0,2.674440917770587,9,100.0,NaN,0,0.0
9,0.2846587520930629,34,34.0%,9,9.0%,11,NaN,0,0.0,3.5582344011632863,9,100.0,NaN,0,0.0
10,0.19884118024524583,15,15.0%,8,8.0%,11,NaN,0,0.0,2.485514753065573,8,100.0,NaN,0,0.0
