Iteration,Vehicle_ID,X,Y,Utility,Capacity,Neighbours
80,0,642,563,4.888196601125011,0,0,2
80,1,501,668,4.929289321881345,0,0,3
80,2,465,334,4.85,0,0,2
80,3,393,654,4.9,0,0,2
80,4,492,595,4.9,0,0,2
80,5,638,534,4.793844718719117,0,0,3
80,6,586,536,4.95,0,0,2
80,7,519,725,4.619211344706804,0,0,3
80,8,679,639,4.9,0,0,3
80,9,525,402,4.95,0,0,3
80,10,463,479,4.95,0,0,2
80,11,369,702,4.793844718719117,0,0,2
80,12,713,489,4.9,0,0,3
80,13,549,602,4.841886116991581,0,0,3
80,14,463,745,4.683772233983162,0,0,2
80,15,428,306,0.0,1,0,2
80,16,502,415,4.888196601125011,0,0,3
80,17,503,545,5.0,0,0,2
80,18,772,275,4.292893218813452,0,0,2
80,19,582,556,4.793844718719117,0,0,3
80,20,604,442,4.929289321881345,0,0,3
80,21,655,675,4.95,0,0,3
80,22,621,603,4.85,0,0,2
80,23,295,490,4.841886116991581,0,0,2
80,24,339,597,4.9,0,0,3
80,25,423,589,4.841886116991581,0,0,2
80,26,519,583,4.858578643762691,0,0,3
80,27,316,471,4.9,0,0,3
80,28,533,576,4.888196601125011,0,0,2
80,29,204,610,4.575735931288072,0,0,3
80,30,320,437,4.95,0,0,2
80,31,457,423,4.9,0,0,2
80,32,664,483,4.85,0,0,1
80,33,644,454,4.858578643762691,0,0,3
80,34,421,519,4.95,0,0,2
80,35,534,229,4.4409830056250525,0,0,2
80,36,469,583,4.85,0,0,3
80,37,320,467,4.888196601125011,0,0,3
80,38,531,531,4.929289321881345,0,0,3
80,39,430,671,4.888196601125011,0,0,3
80,40,601,486,4.9,0,0,2
80,41,610,621,4.95,0,0,3
80,42,504,639,4.929289321881345,0,0,2
80,43,508,401,4.929289321881345,0,0,3
80,44,581,647,4.929289321881345,0,0,2
80,45,561,411,4.9,0,0,2
80,46,484,498,4.929289321881345,0,0,2
80,47,720,487,4.683772233983162,0,0,2
80,48,348,457,4.95,0,0,2
80,49,443,416,0.0,1,0,1
80,50,664,464,0.0,1,0,2
80,51,519,377,0.0,1,0,2
80,52,388,176,0.0,1,0,2
80,53,542,431,0.0,1,0,2
80,54,547,513,0.0,1,0,2
80,55,542,437,0.0,1,0,2
80,56,527,443,0.0,1,0,2
80,57,464,477,0.0,1,0,2
80,58,642,655,0.0,1,0,2
80,59,487,681,0.0,1,0,2
80,60,584,369,0.0,1,0,2
80,61,611,406,0.0,1,0,2
80,62,626,497,0.0,1,0,2
80,63,500,314,0.0,1,0,2
80,64,459,720,0.0,1,0,2
80,65,379,406,0.0,1,0,2
80,66,813,481,0.0,1,0,2
80,67,531,713,0.0,1,0,2
80,68,535,540,0.0,1,0,2
80,69,442,338,0.0,1,0,2
80,70,537,419,0.0,1,0,2
80,71,434,450,0.0,1,0,2
80,72,282,372,0.0,1,0,2
80,73,428,423,0.0,1,0,2
80,74,444,415,0.0,1,0,2
80,75,409,351,0.0,1,0,2
80,76,399,553,0.0,1,0,2
80,77,514,428,0.0,1,0,2
80,78,479,519,0.0,1,0,2
80,79,599,505,0.0,1,0,2
80,80,515,364,0.0,1,0,2
80,81,645,515,0.0,1,0,2
80,82,387,617,0.0,1,0,2
80,83,583,515,0.0,1,0,2
80,84,608,424,0.0,1,0,2
80,85,625,526,0.0,1,0,2
80,86,351,751,0.0,1,0,2
80,87,484,395,0.0,1,0,2
80,88,581,570,0.0,1,0,2
80,89,785,256,0.0,1,0,2
80,90,526,353,0.0,1,0,2
80,91,690,642,0.0,1,0,2
80,92,718,701,0.0,1,0,2
80,93,682,518,0.0,1,0,2
80,94,436,515,0.0,1,0,2
80,95,394,350,0.0,1,0,2
80,96,421,503,0.0,1,0,2
80,97,652,612,0.0,1,0,2
80,98,646,494,0.0,1,0,2
80,99,571,685,0.0,1,0,2
80,100,544,479,0.0,1,0,2
80,101,373,398,0.0,1,0,2
80,102,394,437,0.0,1,0,2
80,103,287,365,0.0,1,0,2
80,104,604,309,0.0,1,0,2
80,105,208,296,0.0,1,0,2
80,106,523,111,0.0,1,0,2
80,107,427,312,4.841886116991581,0,0,2
80,108,568,368,0.0,1,0,2
80,109,596,474,0.0,1,0,2
80,110,404,211,0.0,1,0,2
80,111,474,440,0.0,1,0,2
80,112,594,675,0.0,1,0,2
80,113,402,560,0.0,1,0,2
80,114,565,388,0.0,1,0,2
80,115,451,553,0.0,1,0,2
80,116,140,560,0.0,1,0,2
80,117,566,564,0.0,1,0,2
80,118,412,385,0.0,1,0,2
80,119,468,468,0.0,1,0,2
80,120,540,310,0.0,1,0,2
80,121,454,420,0.0,1,0,2
80,122,519,426,0.0,1,0,2
80,123,705,420,0.0,1,0,2
80,124,425,534,0.0,1,0,3
80,125,657,377,0.0,1,0,3
80,126,699,513,0.0,1,0,3
80,127,492,611,0.0,1,0,3
80,128,480,601,0.0,1,0,3
80,129,444,371,0.0,1,0,3
80,130,329,611,0.0,1,0,3
80,131,336,498,0.0,1,0,3
80,132,459,360,0.0,1,0,3
80,133,493,311,0.0,1,0,3
80,134,611,457,0.0,1,0,3
80,135,320,762,0.0,1,0,3
80,136,344,416,0.0,1,0,3
80,137,611,609,0.0,1,0,3
80,138,451,327,0.0,1,0,3
80,139,418,517,0.0,1,0,3
80,140,525,650,0.0,1,0,3
80,141,664,600,0.0,1,0,3
80,142,712,490,0.0,1,0,3
80,143,680,632,0.0,1,0,3
80,144,356,508,0.0,1,0,3
80,145,581,490,0.0,1,0,3
80,146,288,498,0.0,1,0,3
80,147,336,490,0.0,1,0,3
80,148,587,794,0.0,1,0,3
80,149,219,421,0.0,1,0,3
80,150,570,402,0.0,1,0,3
80,151,310,288,0.0,1,0,3
80,152,753,302,0.0,1,0,3
80,153,297,451,0.0,1,0,3
80,154,647,405,0.0,1,0,3
80,155,491,648,0.0,1,0,3
80,156,512,443,0.0,1,0,3
80,157,501,529,0.0,1,0,3
80,158,459,451,0.0,1,0,3
80,159,522,540,0.0,1,0,3
80,160,440,530,0.0,1,0,3
80,161,667,508,0.0,1,0,3
80,162,605,452,0.0,1,0,3
80,163,281,336,0.0,1,0,3
80,164,441,641,0.0,1,0,3
80,165,322,547,0.0,1,0,3
80,166,717,491,0.0,1,0,3
80,167,565,569,0.0,1,0,3
80,168,487,630,0.0,1,0,3
80,169,327,661,0.0,1,0,3
80,170,369,720,0.0,1,0,3
80,171,549,497,0.0,1,0,3
80,172,566,683,0.0,1,0,3
80,173,651,554,0.0,1,0,3
80,174,629,493,0.0,1,0,3
80,175,531,499,0.0,1,0,3
80,176,509,443,0.0,1,0,3
80,177,761,267,0.0,1,0,3
80,178,575,818,0.0,1,0,3
80,179,399,500,0.0,1,0,3
80,180,579,612,0.0,1,0,3
