Iteration,Cheesecake,Profiterole,Mucake
1,0,17,13
2,0,19,13
3,0,19,13
4,0,19,13
5,0,19,13
6,0,20,13
7,0,20,13
8,0,21,13
9,0,21,13
10,0,21,14
11,0,21,14
12,0,21,14
13,0,21,14
14,0,21,14
15,0,21,14
16,0,21,14
17,0,21,14
18,0,21,16
19,0,21,16
20,0,21,16
21,0,21,16
22,0,21,16
23,0,21,16
24,0,21,16
25,0,21,16
26,0,21,16
27,0,21,16
28,0,21,16
29,0,21,16
30,0,21,16
31,0,21,17
32,0,21,17
33,0,21,17
34,0,21,17
35,0,21,17
36,0,21,17
37,0,21,17
38,0,21,17
39,0,21,17
40,0,21,17
41,0,21,17
42,0,21,17
43,0,21,17
44,0,21,17
45,0,21,17
46,0,21,17
47,0,21,17
48,0,21,17
49,0,21,17
50,0,21,17
51,0,21,17
52,0,21,17
53,0,21,17
54,0,21,17
55,0,21,17
56,0,21,17
57,0,21,17
58,0,21,17
59,0,21,17
60,0,21,19
61,0,21,19
62,0,21,19
63,0,21,19
64,0,21,19
65,0,21,19
66,0,21,19
67,0,21,19
68,0,21,19
69,0,21,19
70,0,21,19
71,0,21,19
72,0,21,19
73,0,21,19
74,0,22,19
75,0,22,19
76,0,22,19
77,0,22,19
78,0,22,19
79,0,22,19
80,0,22,19
81,0,22,19
82,0,22,19
83,0,22,19
84,0,22,19
85,0,22,19
86,0,22,19
87,0,22,19
88,0,22,19
89,0,22,19
90,0,22,19
91,0,22,19
92,0,22,19
93,0,22,19
94,0,22,19
95,0,22,19
96,0,22,19
97,0,22,19
98,0,22,19
99,0,22,19
100,0,22,19
