Iteration,Cheesecake,Profiterole,Mudcake
1,0,11,7
2,0,11,3
3,0,11,6
4,0,9,3
5,0,11,3
6,0,11,1
7,0,11,1
8,0,10,0
9,0,8,0
10,0,8,0
