Iteration,Passenger_ID,X,Y,Utility,Neighbours,Interest
1,1,431,474,0.0,0,0,1
1,2,615,425,0.0,0,0,1
1,3,668,352,0.0,0,0,1
1,4,618,686,0.0,0,0,1
1,5,378,446,0.0,0,0,1
1,6,471,514,0.0,1,0,2
1,7,287,130,0.0,0,0,2
1,8,344,595,0.0,0,0,2
1,9,626,527,0.0,0,0,2
1,10,488,441,0.0,1,0,2
1,11,587,555,0.0,1,0,2
1,12,270,519,0.0,0,0,2
1,13,479,327,0.0,0,0,2
1,14,491,417,0.0,1,0,2
1,15,657,487,0.0,0,0,2
1,16,416,636,0.0,0,0,2
1,17,750,615,0.0,0,0,2
1,18,839,493,0.0,0,0,2
1,19,452,475,0.0,1,0,2
1,20,384,474,0.0,0,0,2
1,21,492,537,0.0,1,0,2
1,22,496,584,0.0,1,0,2
1,23,735,537,0.0,0,0,2
1,24,793,569,0.0,0,0,2
1,25,557,849,0.0,0,0,2
1,26,219,367,0.0,0,0,2
1,27,444,488,0.0,1,0,2
1,28,426,487,0.0,1,0,2
1,29,455,494,0.0,1,0,2
1,30,396,318,0.0,0,0,2
1,31,288,795,0.0,1,0,3
1,32,534,381,0.0,0,0,3
1,33,389,495,0.0,0,0,3
1,34,304,414,0.0,0,0,3
1,35,519,385,0.0,0,0,3
1,36,596,455,0.0,0,0,3
1,37,558,534,0.0,0,0,3
1,38,420,458,0.0,0,0,3
1,39,318,600,0.0,0,0,3
1,40,306,411,0.0,0,0,3
1,41,565,454,0.0,0,0,3
1,42,629,392,0.0,0,0,3
1,43,461,326,0.0,0,0,3
1,44,347,457,0.0,0,0,3
1,45,520,464,0.0,0,0,3
1,46,570,502,0.0,0,0,3
1,47,513,519,0.0,0,0,3
1,48,706,504,0.0,0,0,3
1,49,633,342,0.0,0,0,3
1,50,492,432,0.0,0,0,3

