Iteration,Cheesecake,Profiterole,Mudcake
1,0,9,9
2,0,12,8
3,0,11,6
4,0,11,3
5,0,11,2
6,0,8,1
7,0,5,1
8,0,2,0
9,0,0,0
10,0,0,0
