Iteration,Passenger_ID,X,Y,Utility,Neighbours,Interest
100,1,1096,956,0.0,0,0,1
100,2,993,1603,0.0,0,0,1
100,3,1285,858,0.0,0,0,1
100,4,1072,1235,0.0,0,0,1
100,5,1134,980,0.0,0,0,1
100,6,1160,1257,0.0,0,0,1
100,7,809,865,0.0,0,0,1
100,8,774,942,0.0,0,0,1
100,9,1098,761,0.0,0,0,1
100,10,1087,890,0.0,0,0,1
100,11,1250,908,0.0,0,0,1
100,12,1239,892,0.0,0,0,1
100,13,571,937,0.0,0,0,1
100,14,1110,1151,0.0,0,0,1
100,15,502,812,0.0,0,0,1
100,16,1160,725,0.0,0,0,1
100,17,541,854,0.0,0,0,1
100,18,857,1055,0.0,0,0,1
100,19,987,726,0.0,0,0,1
100,20,824,1466,0.0,0,0,1
100,21,734,1104,0.0,0,0,2
100,22,678,1272,0.0,0,0,2
100,23,1085,1247,0.0,0,0,2
100,24,866,993,0.0,0,0,2
100,25,870,1064,0.0,0,0,2
100,26,837,803,0.0,0,0,2
100,27,610,1393,0.0,0,0,2
100,28,750,1150,0.0,0,0,2
100,29,1281,1501,0.0,0,0,2
100,30,1117,890,0.0,0,0,2
100,31,1447,1124,0.0,0,0,2
100,32,579,708,0.0,0,0,2
100,33,1106,707,0.0,0,0,2
100,34,748,877,0.0,0,0,2
100,35,541,1151,0.0,0,0,2
100,36,1162,965,0.0,0,0,2
100,37,925,1261,0.0,0,0,2
100,38,685,639,0.0,0,0,2
100,39,1146,1182,0.0,0,0,2
100,40,1058,1289,0.0,0,0,2
100,41,973,1053,0.0,0,0,2
100,42,1519,618,0.0,0,0,2
100,43,1204,1194,0.0,0,0,2
100,44,1305,641,0.0,1,0,2
100,45,707,758,0.0,0,0,2
100,46,1305,1048,0.0,0,0,2
100,47,1083,1408,0.0,0,0,2
100,48,1042,1215,0.0,0,0,2
100,49,692,617,0.0,0,0,2
100,50,856,844,0.0,0,0,2
100,51,1268,763,0.0,1,0,2
100,52,811,700,0.0,0,0,2
100,53,1326,968,0.0,0,0,2
100,54,789,1387,0.0,0,0,2
100,55,942,1552,0.0,0,0,2
100,56,1164,816,0.0,0,0,2
100,57,814,854,0.0,0,0,2
100,58,1302,1039,0.0,0,0,2
100,59,821,686,0.0,0,0,2
100,60,1086,719,0.0,0,0,2
100,61,1304,801,0.0,1,0,2
100,62,1023,1171,0.0,0,0,2
100,63,927,842,0.0,0,0,2
100,64,1149,897,0.0,0,0,2
100,65,1114,1335,0.0,0,0,2
100,66,1231,937,0.0,0,0,2
100,67,818,955,0.0,0,0,2
100,68,1312,1219,0.0,0,0,2
100,69,771,1225,0.0,0,0,2
100,70,951,757,0.0,0,0,2
100,71,455,742,0.0,0,0,2
100,72,871,945,0.0,0,0,2
100,73,1449,1067,0.0,0,0,2
100,74,920,959,0.0,0,0,2
100,75,998,1345,0.0,0,0,2
100,76,1064,750,0.0,0,0,2
100,77,1142,1234,0.0,0,0,2
100,78,654,1102,0.0,0,0,2
100,79,1471,897,0.0,0,0,2
100,80,1440,926,0.0,0,0,2
100,81,823,715,0.0,0,0,2
100,82,1082,1154,0.0,0,0,2
100,83,1013,541,0.0,0,0,2
