Iteration,Passenger_ID,X,Y,Utility,Neighbours,Interest
1,1,358,486,4.310344288793314,8,1,2
1,2,576,427,0.0,5,0,2
1,3,448,432,4.271131013144338,7,1,2
1,4,716,535,0.0,1,0,2
1,5,359,413,0.0,5,0,2
1,6,371,251,0.0,2,0,2
1,7,539,524,4.841886116991581,9,1,2
1,8,604,374,0.0,4,0,2
1,9,511,550,4.25,10,1,2
1,10,492,478,2.2602463614405037,8,1,2
1,11,671,435,0.0,3,0,2
1,12,593,586,2.8713267042592,6,1,2
1,13,632,734,0.0,3,0,2
1,14,679,712,0.0,2,0,2
1,15,497,566,2.4225739583840626,10,1,2
1,16,401,700,3.625,6,1,2
1,17,464,503,2.66266711827348,10,1,2
1,18,563,414,0.47058226700164024,6,1,2
1,19,640,267,0.0,1,0,2
1,20,469,416,1.2898787081821703,7,1,2
1,21,394,495,0.6454047260393991,8,1,2
1,22,537,594,0.0,7,1,2
1,23,494,541,0.0,10,1,2
1,24,540,513,0.0,8,1,2
1,25,525,581,0.0,9,1,2
1,26,592,444,0.0,5,0,2
1,27,332,488,0.0,7,1,2
1,28,558,371,0.0,5,0,2
1,29,483,568,0.0,10,1,2
1,30,282,434,0.0,5,0,2
1,31,278,114,0.0,0,0,2
1,32,454,348,0.0,5,0,2
1,33,540,218,0.0,2,0,2
1,34,507,470,0.0,8,1,2
1,35,470,462,0.0,7,1,2
1,36,509,476,0.0,8,1,2
1,37,527,769,0.0,3,0,2
1,38,318,136,0.0,1,0,2
1,39,704,549,0.0,2,0,2
1,40,290,691,0.0,3,0,2
1,41,490,441,0.0,7,1,2
1,42,245,472,0.0,2,0,2
1,43,521,419,0.0,7,1,2
1,44,816,333,0.0,1,0,2
1,45,427,163,0.0,1,0,2
1,46,490,541,0.0,10,1,2
1,47,395,382,0.0,6,1,2
1,48,258,444,0.0,4,0,2
1,49,310,594,0.0,5,0,2
1,50,407,477,0.0,8,1,2
1,51,581,476,0.0,5,0,2
1,52,526,448,0.0,6,1,2
1,53,375,601,0.0,9,1,2
1,54,660,415,0.0,3,0,2
1,55,355,534,0.0,8,1,2
1,56,479,387,0.0,7,1,2
1,57,639,412,0.0,4,0,2
1,58,363,442,0.0,7,1,2
1,59,475,513,0.0,10,1,2
1,60,446,582,0.0,9,1,2
1,61,620,357,0.0,1,0,3
1,62,456,553,3.9922177814626814,6,1,3
1,63,328,332,0.0,3,0,3
1,64,541,553,0.0,4,0,3
1,65,398,370,0.0,4,0,3
1,66,438,468,2.55497955018777,6,1,3
1,67,256,495,0.0,4,0,3
1,68,613,430,0.0,2,0,3
1,69,612,556,0.0,3,0,3
1,70,447,424,0.0,5,0,3
1,71,381,547,3.2441170312347123,6,1,3
1,72,230,238,0.0,1,0,3
1,73,604,569,0.0,3,0,3
1,74,472,398,0.0,5,0,3
1,75,642,383,0.0,2,0,3
1,76,663,691,0.0,2,0,3
1,77,415,585,3.0828080429962155,6,1,3
1,78,537,506,0.0,3,0,3
1,79,617,420,0.0,2,0,3
1,80,593,509,0.0,3,0,3
1,81,473,693,0.0,4,0,3
1,82,443,404,0.0,5,0,3
1,83,254,344,0.0,3,0,3
1,84,420,590,2.234927668215531,6,1,3
1,85,486,496,3.249821437681286,6,1,3
1,86,379,619,0.0,6,1,3
1,87,423,294,0.0,2,0,3
1,88,458,547,0.0,6,1,3
1,89,636,649,0.0,2,0,3
1,90,565,425,0.0,2,0,3
1,91,442,539,0.0,6,1,3
1,92,342,499,0.6958595515480681,6,1,3
1,93,564,526,0.0,3,0,3
1,94,431,480,0.0,7,1,3
1,95,382,523,0.0,7,1,3
1,96,544,670,0.0,4,0,3
1,97,540,416,0.0,4,0,3
1,98,520,598,0.0,4,0,3
1,99,471,613,0.0,5,0,3
1,100,489,863,0.0,0,0,3

