Iteration,Cheesecake,Profiterole,Mudcake
1,0,12,7
2,0,12,7
3,0,12,7
4,0,12,6
5,0,12,5
6,0,12,1
7,0,11,1
8,0,11,1
9,0,12,1
10,0,12,1
