Iteration,Cheesecake,Profiterole,Mudcake
1,0,11,6
2,0,11,4
3,0,11,1
4,0,11,1
5,0,10,0
6,0,11,0
7,0,8,0
8,0,10,0
9,0,9,0
10,0,8,0
