Iteration,Cheesecake,Profiterole,Mudcake
1,0,8,4
2,0,7,5
3,0,8,4
4,0,6,2
5,0,4,2
6,0,4,2
7,0,4,1
8,0,2,0
9,0,1,0
10,0,1,0
