Iteration,Cheesecake,Profiterole,Mucake
1,1,21,22
2,0,19,25
3,0,16,29
4,0,18,27
5,1,19,25
6,1,20,24
7,1,18,26
8,1,17,27
9,1,18,26
10,1,19,25
11,1,20,24
12,1,21,24
13,1,21,24
14,1,22,23
15,1,23,22
16,0,25,21
17,0,26,20
18,0,26,20
19,0,26,20
20,0,27,19
21,0,27,19
22,0,25,21
23,0,23,23
24,0,23,23
25,0,21,25
26,0,21,25
27,0,21,25
28,0,21,25
29,0,23,23
30,1,23,22
31,1,23,22
32,1,23,22
33,1,23,22
34,1,23,22
35,1,24,21
36,1,25,20
37,1,25,20
38,1,25,21
39,1,24,22
40,1,25,21
41,1,26,21
42,1,25,22
43,1,26,21
44,1,25,22
45,1,25,22
46,1,24,23
47,1,25,22
48,0,25,23
49,0,24,24
50,0,25,23
51,0,25,23
52,0,26,22
53,0,26,22
54,0,27,21
55,0,28,20
56,0,27,21
57,0,26,22
58,0,26,22
59,0,29,19
60,0,29,20
61,0,30,19
62,0,30,19
63,0,31,18
64,0,31,18
65,0,31,18
66,0,30,19
67,0,30,19
68,0,30,19
69,0,31,18
70,0,31,18
71,0,31,18
72,0,29,20
73,0,29,20
74,0,29,20
75,0,30,19
76,0,30,19
77,0,30,19
78,0,29,20
79,0,30,19
80,0,30,19
81,0,29,20
82,0,29,20
83,0,29,20
84,0,30,19
85,0,30,19
86,0,30,19
87,0,30,19
88,0,31,18
89,0,31,18
90,0,31,18
91,0,31,18
92,0,31,18
93,0,31,18
94,0,32,17
95,0,32,17
96,0,31,18
97,0,31,18
98,0,31,18
99,0,31,18
100,0,30,19
