Iteration,Vehicle_ID,X,Y,Utility,Capacity,Neighbours
60,0,476,447,4.95,0,0,2
60,1,256,441,4.888196601125011,0,0,2
60,2,351,567,4.95,0,0,2
60,3,480,532,5.0,0,0,2
60,4,444,390,4.9,0,0,2
60,5,404,685,4.699999999999999,0,0,2
60,6,728,568,4.5,0,0,2
60,7,439,287,4.95,0,0,2
60,8,514,651,4.888196601125011,0,0,2
60,9,494,359,4.95,0,0,2
60,10,295,352,4.679843788128358,0,0,3
60,11,558,428,4.95,0,0,2
60,12,569,273,4.841886116991581,0,0,2
60,13,524,578,4.9,0,0,3
60,14,570,619,4.708452405257734,0,0,2
60,15,402,492,4.8197224362268,0,0,2
60,16,423,645,4.75,0,0,3
60,17,609,390,4.9,0,0,3
60,18,473,308,4.888196601125011,0,0,2
60,19,681,618,4.776393202250022,0,0,3
60,20,548,568,4.888196601125011,0,0,3
60,21,577,500,4.929289321881345,0,0,3
60,22,309,501,4.75,0,0,2
60,23,507,588,4.888196601125011,0,0,3
60,24,521,550,4.9,0,0,2
60,25,417,482,4.929289321881345,0,0,3
60,26,448,289,4.8197224362268,0,0,3
60,27,479,705,4.85,0,0,2
60,28,295,652,4.787867965644035,0,0,3
60,29,525,365,4.929289321881345,0,0,2
60,30,520,517,4.888196601125011,0,0,3
60,31,505,580,4.841886116991581,0,0,3
60,32,370,549,4.95,0,0,1
60,33,536,652,4.858578643762691,0,0,2
60,34,605,553,4.8197224362268,0,0,2
60,35,393,464,4.95,0,0,3
60,36,300,495,4.776393202250022,0,0,1
60,37,643,491,4.888196601125011,0,0,3
60,38,601,443,4.888196601125011,0,0,3
60,39,229,623,4.730741759643275,0,0,3
60,40,456,407,4.793844718719117,0,0,3
60,41,484,449,5.0,0,0,2
60,42,596,733,4.635994505535973,0,0,2
60,43,592,603,4.85,0,0,2
60,44,752,582,4.9,0,0,2
60,45,487,648,4.9,0,0,2
60,46,530,520,4.85,0,0,2
60,47,376,406,4.9,0,0,2
60,48,669,615,4.95,0,0,2
60,49,491,678,4.776393202250022,0,0,2
60,50,470,359,0.0,1,0,1
60,51,644,514,0.0,1,0,1
60,52,476,476,0.0,1,0,1
60,53,465,403,0.0,1,0,1
60,54,629,432,0.0,1,0,1
60,55,636,366,0.0,1,0,2
60,56,448,618,0.0,1,0,2
60,57,613,603,0.0,1,0,2
60,58,639,587,0.0,1,0,2
60,59,723,180,0.0,1,0,2
60,60,495,440,0.0,1,0,2
60,61,350,406,0.0,1,0,2
60,62,401,501,0.0,1,0,2
60,63,380,530,0.0,1,0,2
60,64,465,400,0.0,1,0,2
60,65,460,629,0.0,1,0,2
60,66,369,553,0.0,1,0,2
60,67,694,320,0.0,1,0,2
60,68,478,353,0.0,1,0,2
60,69,658,385,0.0,1,0,2
60,70,605,445,0.0,1,0,2
60,71,625,451,0.0,1,0,2
60,72,413,419,0.0,1,0,2
60,73,850,619,0.0,1,0,2
60,74,557,351,0.0,1,0,2
60,75,599,597,0.0,1,0,2
60,76,403,433,0.0,1,0,2
60,77,536,617,0.0,1,0,2
60,78,486,437,0.0,1,0,2
60,79,476,575,0.0,1,0,2
60,80,427,316,0.0,1,0,2
60,81,634,414,0.0,1,0,2
60,82,504,464,0.0,1,0,2
60,83,559,589,0.0,1,0,2
60,84,438,303,0.0,1,0,2
60,85,508,552,0.0,1,0,2
60,86,292,386,0.0,1,0,2
60,87,446,329,0.0,1,0,2
60,88,575,426,0.0,1,0,2
60,89,610,507,0.0,1,0,2
60,90,329,457,0.0,1,0,2
60,91,499,321,0.0,1,0,2
60,92,493,587,0.0,1,0,2
60,93,632,513,0.0,1,0,2
60,94,451,525,0.0,1,0,2
60,95,489,331,0.0,1,0,2
60,96,639,492,0.0,1,0,2
60,97,631,460,0.0,1,0,2
60,98,454,759,0.0,1,0,2
60,99,554,590,0.0,1,0,2
60,100,578,462,0.0,1,0,2
60,101,545,540,0.0,1,0,2
60,102,512,504,0.0,1,0,2
60,103,255,545,0.0,1,0,2
60,104,331,522,0.0,1,0,2
60,105,611,530,0.0,1,0,2
60,106,563,376,0.0,1,0,2
60,107,698,710,0.0,1,0,2
60,108,537,562,0.0,1,0,2
60,109,669,637,0.0,1,0,2
60,110,443,502,0.0,1,0,2
60,111,525,556,0.0,1,0,2
60,112,434,687,0.0,1,0,2
60,113,592,604,0.0,1,0,2
60,114,510,510,0.0,1,0,2
60,115,339,772,0.0,1,0,2
60,116,354,581,0.0,1,0,2
60,117,263,471,0.0,1,0,2
60,118,449,583,0.0,1,0,2
60,119,580,331,0.0,1,0,2
60,120,837,463,0.0,1,0,2
60,121,561,347,0.0,1,0,2
60,122,311,532,0.0,1,0,2
60,123,548,379,0.0,1,0,2
60,124,575,561,0.0,1,0,2
60,125,556,597,0.0,1,0,2
60,126,297,414,0.0,1,0,3
60,127,673,581,0.0,1,0,3
60,128,552,661,0.0,1,0,3
60,129,665,464,0.0,1,0,3
60,130,659,513,0.0,1,0,3
60,131,401,270,0.0,1,0,3
60,132,546,696,0.0,1,0,3
60,133,571,402,0.0,1,0,3
60,134,450,531,0.0,1,0,3
60,135,182,569,0.0,1,0,3
60,136,532,622,0.0,1,0,3
60,137,501,378,0.0,1,0,3
60,138,361,456,0.0,1,0,3
60,139,835,588,0.0,1,0,3
60,140,654,592,0.0,1,0,3
60,141,479,535,0.0,1,0,3
60,142,760,586,0.0,1,0,3
60,143,479,507,0.0,1,0,3
60,144,503,764,0.0,1,0,3
60,145,538,640,0.0,1,0,3
