Iteration,Passengers' mean utility,Vehicles' mean utility,% Interested passengers,% Matched passengers,% Matched Vehicles,Interested passengers,Matched passengers,Matched Vehicles,Total Vehicles
1,3.604663969220478,[D@6cc4c815,94.0%,94.0%,31.125827814569533%,47,47,47,151
2,4.002098531696552,[D@3a82f6ef,98.0%,98.0%,27.22222222222222%,49,49,49,180
3,4.316547454233237,[D@100fc185,100.0%,100.0%,27.322404371584703%,50,50,50,183
4,4.380279553152706,[D@643b1d11,100.0%,100.0%,27.027027027027028%,50,50,50,185
5,4.434108060713321,[D@2ef5e5e3,100.0%,100.0%,27.027027027027028%,50,50,50,185
6,4.512983769819738,[D@36d4b5c,100.0%,100.0%,27.027027027027028%,50,50,50,185
7,4.581202946836085,[D@6d00a15d,100.0%,100.0%,27.027027027027028%,50,50,50,185
8,4.615498856305716,[D@51efea79,100.0%,100.0%,27.027027027027028%,50,50,50,185
9,4.638322130498003,[D@5034c75a,100.0%,100.0%,27.027027027027028%,50,50,50,185
10,4.645499418762631,[D@396a51ab,100.0%,100.0%,27.027027027027028%,50,50,50,185
11,4.666515544550229,[D@51081592,100.0%,100.0%,27.027027027027028%,50,50,50,185
12,4.681694988426964,[D@7f9a81e8,100.0%,100.0%,27.027027027027028%,50,50,50,185
13,4.714746297744721,[D@9629756,100.0%,100.0%,27.027027027027028%,50,50,50,185
14,4.735206248820084,[D@62ee68d8,100.0%,100.0%,27.027027027027028%,50,50,50,185
15,4.745852663496179,[D@735b5592,100.0%,100.0%,27.027027027027028%,50,50,50,185
16,4.747505198865718,[D@58651fd0,100.0%,100.0%,27.027027027027028%,50,50,50,185
17,4.754490191540483,[D@4520ebad,100.0%,100.0%,25.380710659898476%,50,50,50,197
18,4.758893407055381,[D@5419f379,100.0%,100.0%,25.380710659898476%,50,50,50,197
19,4.760252222995227,[D@7dc7cbad,100.0%,100.0%,25.380710659898476%,50,50,50,197
20,4.769590138980767,[D@d2cc05a,100.0%,100.0%,25.380710659898476%,50,50,50,197
21,4.77391012055491,[D@4f933fd1,100.0%,100.0%,25.380710659898476%,50,50,50,197
22,4.781488464892523,[D@548a9f61,100.0%,100.0%,25.380710659898476%,50,50,50,197
23,4.790947308588093,[D@1753acfe,100.0%,100.0%,25.380710659898476%,50,50,50,197
24,4.795223812014788,[D@7c16905e,100.0%,100.0%,25.380710659898476%,50,50,50,197
25,4.796938428729002,[D@2a2d45ba,100.0%,100.0%,25.380710659898476%,50,50,50,197
26,4.803031956909255,[D@2a5ca609,100.0%,100.0%,25.380710659898476%,50,50,50,197
27,4.80550916816409,[D@20e2cbe0,100.0%,100.0%,25.380710659898476%,50,50,50,197
28,4.807509168164089,[D@68be2bc2,100.0%,100.0%,25.380710659898476%,50,50,50,197
29,4.814973466018003,[D@28feb3fa,100.0%,100.0%,25.380710659898476%,50,50,50,197
30,4.822888226237164,[D@675d3402,100.0%,100.0%,25.380710659898476%,50,50,50,197
31,4.823827616750367,[D@51565ec2,100.0%,100.0%,25.380710659898476%,50,50,50,197
32,4.824753826433035,[D@482f8f11,100.0%,100.0%,25.380710659898476%,50,50,50,197
33,4.828513204703765,[D@1593948d,100.0%,100.0%,25.380710659898476%,50,50,50,197
34,4.836100578530389,[D@1b604f19,100.0%,100.0%,25.380710659898476%,50,50,50,197
35,4.839618132880543,[D@7823a2f9,100.0%,100.0%,25.380710659898476%,50,50,50,197
36,4.841072206608211,[D@4cc0edeb,100.0%,100.0%,25.380710659898476%,50,50,50,197
37,4.841072206608211,[D@457e2f02,100.0%,100.0%,25.380710659898476%,50,50,50,197
38,4.841072206608211,[D@5c7fa833,100.0%,100.0%,25.380710659898476%,50,50,50,197
39,4.841998416290879,[D@39aeed2f,100.0%,100.0%,25.380710659898476%,50,50,50,197
40,4.841998416290879,[D@724af044,100.0%,100.0%,25.380710659898476%,50,50,50,197
41,4.842937806804081,[D@4678c730,100.0%,100.0%,25.380710659898476%,50,50,50,197
42,4.843814701178464,[D@6767c1fc,100.0%,100.0%,25.380710659898476%,50,50,50,197
43,4.8452289147408365,[D@29ee9faa,100.0%,100.0%,25.380710659898476%,50,50,50,197
44,4.848160958132846,[D@c038203,100.0%,100.0%,25.380710659898476%,50,50,50,197
45,4.849323235793014,[D@cc285f4,100.0%,100.0%,25.380710659898476%,50,50,50,197
46,4.849323235793014,[D@55f3ddb1,100.0%,100.0%,25.380710659898476%,50,50,50,197
47,4.849323235793014,[D@8bd1b6a,100.0%,100.0%,25.380710659898476%,50,50,50,197
48,4.85015166291776,[D@18be83e4,100.0%,100.0%,25.380710659898476%,50,50,50,197
49,4.850313940577928,[D@cb5822,100.0%,100.0%,25.380710659898476%,50,50,50,197
50,4.850313940577928,[D@4b9e13df,100.0%,100.0%,25.380710659898476%,50,50,50,197
51,4.850313940577928,[D@2b98378d,100.0%,100.0%,25.380710659898476%,50,50,50,197
52,4.850313940577928,[D@475530b9,100.0%,100.0%,25.380710659898476%,50,50,50,197
53,4.850313940577928,[D@1d057a39,100.0%,100.0%,25.380710659898476%,50,50,50,197
54,4.850313940577928,[D@26be92ad,100.0%,100.0%,25.380710659898476%,50,50,50,197
55,4.853304645362843,[D@4c70fda8,100.0%,100.0%,25.380710659898476%,50,50,50,197
56,4.854217674214978,[D@224edc67,100.0%,100.0%,25.380710659898476%,50,50,50,197
57,4.854217674214978,[D@14acaea5,100.0%,100.0%,25.380710659898476%,50,50,50,197
58,4.854217674214978,[D@46d56d67,100.0%,100.0%,25.380710659898476%,50,50,50,197
59,4.854217674214978,[D@d8355a8,100.0%,100.0%,25.380710659898476%,50,50,50,197
60,4.854217674214978,[D@59fa1d9b,100.0%,100.0%,25.380710659898476%,50,50,50,197
61,4.857389247090231,[D@28d25987,100.0%,100.0%,25.380710659898476%,50,50,50,197
62,4.858057943638589,[D@4501b7af,100.0%,100.0%,25.380710659898476%,50,50,50,197
63,4.859013498207533,[D@523884b2,100.0%,100.0%,25.380710659898476%,50,50,50,197
64,4.859013498207533,[D@5b275dab,100.0%,100.0%,25.380710659898476%,50,50,50,197
65,4.859013498207533,[D@61832929,100.0%,100.0%,25.380710659898476%,50,50,50,197
66,4.860377074635091,[D@29774679,100.0%,100.0%,25.380710659898476%,50,50,50,197
67,4.8623770746350905,[D@3ffc5af1,100.0%,100.0%,25.380710659898476%,50,50,50,197
68,4.865208026529936,[D@5e5792a0,100.0%,100.0%,25.380710659898476%,50,50,50,197
69,4.866800385677182,[D@26653222,100.0%,100.0%,25.380710659898476%,50,50,50,197
70,4.866800385677182,[D@3532ec19,100.0%,100.0%,25.380710659898476%,50,50,50,197
71,4.867800385677182,[D@68c4039c,100.0%,100.0%,25.380710659898476%,50,50,50,197
72,4.867800385677182,[D@ae45eb6,100.0%,100.0%,25.380710659898476%,50,50,50,197
73,4.870800385677182,[D@59f99ea,100.0%,100.0%,25.380710659898476%,50,50,50,197
74,4.874203509914615,[D@27efef64,100.0%,100.0%,25.380710659898476%,50,50,50,197
75,4.874203509914615,[D@6f7fd0e6,100.0%,100.0%,25.380710659898476%,50,50,50,197
76,4.874203509914615,[D@47c62251,100.0%,100.0%,25.380710659898476%,50,50,50,197
77,4.874203509914615,[D@3e6fa38a,100.0%,100.0%,25.380710659898476%,50,50,50,197
78,4.874203509914615,[D@66a3ffec,100.0%,100.0%,25.380710659898476%,50,50,50,197
79,4.874203509914615,[D@77caeb3e,100.0%,100.0%,25.380710659898476%,50,50,50,197
80,4.8768090611900785,[D@1e88b3c,100.0%,100.0%,25.380710659898476%,50,50,50,197
81,4.8768090611900785,[D@42d80b78,100.0%,100.0%,25.380710659898476%,50,50,50,197
82,4.8768090611900785,[D@3bfdc050,100.0%,100.0%,25.380710659898476%,50,50,50,197
83,4.8790451291675785,[D@1bce4f0a,100.0%,100.0%,25.380710659898476%,50,50,50,197
84,4.8790451291675785,[D@5e3a8624,100.0%,100.0%,25.380710659898476%,50,50,50,197
85,4.882103051560205,[D@5c3bd550,100.0%,100.0%,25.380710659898476%,50,50,50,197
86,4.882103051560205,[D@91161c7,100.0%,100.0%,25.380710659898476%,50,50,50,197
87,4.884294389273296,[D@604ed9f0,100.0%,100.0%,25.380710659898476%,50,50,50,197
88,4.884294389273296,[D@6a4f787b,100.0%,100.0%,25.380710659898476%,50,50,50,197
89,4.884294389273296,[D@685cb137,100.0%,100.0%,25.380710659898476%,50,50,50,197
90,4.885530457250796,[D@6a41eaa2,100.0%,100.0%,25.380710659898476%,50,50,50,197
91,4.885530457250796,[D@7cd62f43,100.0%,100.0%,25.380710659898476%,50,50,50,197
92,4.886840315545626,[D@6d4b1c02,100.0%,100.0%,25.380710659898476%,50,50,50,197
93,4.886840315545626,[D@6093dd95,100.0%,100.0%,25.380710659898476%,50,50,50,197
94,4.886840315545626,[D@5622fdf,100.0%,100.0%,25.380710659898476%,50,50,50,197
95,4.886840315545626,[D@4883b407,100.0%,100.0%,25.380710659898476%,50,50,50,197
96,4.888922230178844,[D@7d9d1a19,100.0%,100.0%,25.380710659898476%,50,50,50,197
97,4.888922230178844,[D@39c0f4a,100.0%,100.0%,25.380710659898476%,50,50,50,197
98,4.888922230178844,[D@1794d431,100.0%,100.0%,25.380710659898476%,50,50,50,197
99,4.888922230178844,[D@42e26948,100.0%,100.0%,25.380710659898476%,50,50,50,197
100,4.8929222301788435,[D@57baeedf,100.0%,100.0%,25.380710659898476%,50,50,50,197
