Iteration,Cheesecake,Profiterole,Mudcake
1,0,31,20
2,0,31,21
3,0,31,20
4,0,32,20
5,0,34,21
6,0,33,21
7,0,34,21
8,0,34,21
9,0,34,20
10,0,34,20
