Iteration,Cheesecake,Profiterole,Mucake
1,1,23,20
2,1,18,25
3,1,18,26
4,0,20,25
5,0,21,24
6,0,22,23
7,0,21,24
8,0,20,25
9,0,22,23
10,0,22,23
11,0,25,20
12,0,25,21
13,0,27,19
14,0,27,19
15,0,25,21
16,0,27,19
17,0,25,21
18,0,26,20
19,0,26,20
20,0,26,20
21,0,27,19
22,0,27,19
23,0,27,19
24,0,28,18
25,0,27,20
26,0,27,20
27,0,28,19
28,0,28,19
29,0,28,19
30,0,28,20
31,0,26,22
32,0,26,22
33,0,24,24
34,0,25,23
35,0,25,23
36,0,25,23
37,0,26,22
38,0,26,22
39,0,27,21
40,0,27,21
41,0,27,21
42,0,26,22
43,0,26,22
44,0,26,22
45,0,25,23
46,0,24,24
47,0,24,24
48,0,24,24
49,0,26,22
50,0,26,22
51,0,26,22
52,0,26,22
53,0,26,22
54,0,26,22
55,0,25,23
56,0,25,23
57,0,25,23
58,0,26,22
59,0,26,22
60,0,26,22
61,0,26,22
62,0,26,22
63,0,26,22
64,0,27,21
65,0,26,22
66,0,25,23
67,0,25,23
68,0,24,24
69,0,24,24
70,0,24,24
71,0,25,23
72,0,25,23
73,0,25,23
74,0,25,23
75,0,25,23
76,0,25,23
77,0,25,23
78,0,25,23
79,0,25,23
80,0,25,23
81,0,25,23
82,0,24,24
83,0,24,24
84,0,24,24
85,0,25,23
86,0,26,22
87,0,26,22
88,0,26,22
89,0,26,22
90,0,26,22
91,0,25,23
92,0,25,23
93,0,25,23
94,0,26,22
95,0,27,21
96,0,26,22
97,0,27,22
98,0,27,22
99,0,27,22
100,0,27,22
