Iteration,Vehicle_ID,X,Y,Utility,Capacity,Neighbours
1,0,356,234,0.0,1,0,1
1,1,554,519,3.1889229723725165,0,0,2
1,2,285,554,0.0,1,0,2
1,3,699,424,0.0,1,0,2
1,4,616,644,3.133184529740553,0,0,2
1,5,379,445,3.349242598078082,0,0,2
1,6,534,727,0.0,1,0,2
1,7,505,631,0.0,1,0,2
1,8,593,591,0.0,1,0,2
1,9,313,636,0.0,1,0,2
1,10,705,465,0.0,1,0,2
1,11,406,538,4.098612181134003,0,0,2
1,12,315,683,0.0,1,0,2
1,13,565,553,2.7361537154656457,0,0,2
1,14,485,594,2.348113878764776,0,0,2
1,15,493,518,3.8587287789486675,0,0,2
1,16,442,476,0.0,1,0,2
1,17,596,658,0.0,1,0,2
1,18,615,413,4.278889744907202,0,0,2
1,19,625,496,0.0,1,0,2
1,20,687,367,0.0,1,0,2
1,21,398,686,0.0,1,0,2
1,22,428,419,0.0,1,0,2
1,23,327,378,0.0,1,0,2
1,24,583,660,0.0,1,0,2
1,25,212,598,0.0,1,0,2
1,26,505,469,0.0,1,0,2
1,27,517,369,0.0,1,0,2
1,28,616,486,0.0,1,0,2
1,29,671,486,0.0,1,0,2
1,30,751,463,0.0,1,0,2
1,31,662,526,0.0,1,0,2
1,32,335,516,0.0,1,0,2
1,33,684,506,0.0,1,0,2
1,34,436,223,0.0,1,0,2
1,35,693,569,0.0,1,0,2
1,36,519,344,3.25,0,0,2
1,37,680,581,0.0,1,0,2
1,38,464,675,3.3621660645840805,0,0,2
1,39,505,678,0.0,1,0,2
1,40,540,394,0.0,1,0,2
1,41,341,480,0.0,1,0,2
1,42,332,631,0.0,1,0,2
1,43,396,410,0.0,1,0,2
1,44,467,537,0.0,1,0,2
1,45,421,467,3.384450557859649,0,0,2
1,46,675,401,0.0,1,0,2
1,47,523,577,0.0,1,0,2
1,48,531,535,0.0,1,0,2
1,49,342,702,0.0,1,0,2
1,50,507,417,4.145599625468247,0,0,2
1,51,399,381,0.0,1,0,2
1,52,581,428,0.0,1,0,2
1,53,235,568,0.0,1,0,2
1,54,460,578,4.539022777135356,0,0,2
1,55,348,502,2.8199770643408364,0,0,2
1,56,536,768,0.0,1,0,2
1,57,444,667,1.95861873485089,0,0,2
1,58,536,642,0.0,1,0,2
1,59,504,306,0.0,1,0,3
1,60,378,423,3.1098941828564204,0,0,3
1,61,434,462,2.790927796562548,0,0,3
1,62,375,487,0.0,1,0,3
1,63,678,453,0.0,1,0,3
1,64,397,698,0.0,1,0,3
1,65,708,667,0.0,1,0,3
1,66,601,635,3.4556554788519502,0,0,3
1,67,506,678,3.3236945385759786,0,0,3
1,68,409,664,0.0,1,0,3
1,69,490,619,0.0,1,0,3
1,70,624,815,0.0,1,0,3
1,71,611,553,0.0,1,0,3
1,72,508,745,0.0,1,0,3
1,73,696,558,0.0,1,0,3
1,74,564,396,0.0,1,0,3
1,75,614,631,0.0,1,0,3
1,76,280,560,0.0,1,0,3
1,77,616,771,0.0,1,0,3
1,78,638,791,0.0,1,0,3
1,79,365,496,0.0,1,0,3
1,80,551,572,0.0,1,0,3
1,81,445,342,2.0995689975453646,0,0,3
1,82,520,689,0.0,1,0,3
1,83,425,532,4.858578643762691,0,0,3
1,84,521,417,0.0,1,0,3
1,85,323,525,0.0,1,0,3
1,86,337,371,2.42609246475325,0,0,3
1,87,463,337,0.0,1,0,3
1,88,368,421,0.0,1,0,3
1,89,384,531,0.0,1,0,3
1,90,830,461,0.0,1,0,3
1,91,583,699,0.0,1,0,3
1,92,457,557,3.05,0,0,3
1,93,480,676,3.25,0,0,3
1,94,397,515,0.0,1,0,3
1,95,593,601,0.0,1,0,3
1,96,764,497,0.0,1,0,3
1,97,617,419,0.0,1,0,3
1,98,509,376,3.2265852149031797,0,0,3
1,99,424,831,0.0,1,0,3
1,100,309,433,0.0,1,0,3
1,101,513,403,0.0,1,0,3
1,102,427,710,0.0,1,0,3
1,103,664,530,4.4409830056250525,0,0,3
1,104,533,532,0.0,1,0,3
1,105,617,649,3.3929841320011804,0,0,3
1,106,411,259,0.0,1,0,3
1,107,352,607,0.0,1,0,3
1,108,641,477,0.0,1,0,3
1,109,590,483,0.0,1,0,3
1,110,570,467,0.0,1,0,3
1,111,440,565,4.54723074309313,0,0,3
1,112,299,446,0.0,1,0,3
1,113,486,448,3.676179770512627,0,0,3
1,114,537,492,4.447731949140637,0,0,3
1,115,571,493,0.0,1,0,3
1,116,696,447,0.0,1,0,3

