Iteration,Passenger_ID,X,Y,Utility,Neighbours,Interest
1,1,608,627,0.0,0,0,1
1,2,831,1192,0.0,1,0,1
1,3,1035,910,0.0,0,0,1
1,4,1143,788,0.0,0,0,1
1,5,969,876,0.0,0,0,1
1,6,909,1640,0.0,0,0,1
1,7,1266,841,0.0,0,0,1
1,8,875,711,0.0,0,0,1
1,9,1362,1329,0.0,0,0,1
1,10,1001,898,0.0,0,0,1
1,11,1017,1492,0.0,0,0,1
1,12,1329,950,0.0,0,0,1
1,13,1225,1100,0.0,0,0,1
1,14,1021,1293,0.0,0,0,1
1,15,1336,1416,0.0,0,0,1
1,16,1392,826,0.0,0,0,1
1,17,522,1489,0.0,0,0,1
1,18,1219,1020,0.0,0,0,1
1,19,929,892,0.0,0,0,1
1,20,1080,1238,0.0,0,0,1
1,21,1063,1019,0.0,0,0,2
1,22,648,983,0.0,0,0,2
1,23,1287,1243,0.0,0,0,2
1,24,799,789,0.0,0,0,2
1,25,1147,1251,0.0,0,0,2
1,26,895,1005,0.0,0,0,2
1,27,1117,613,0.0,0,0,2
1,28,1080,964,0.0,0,0,2
1,29,844,1142,0.0,0,0,2
1,30,970,1450,0.0,0,0,2
1,31,1355,1449,0.0,0,0,2
1,32,1200,1174,0.0,0,0,2
1,33,803,1289,0.0,0,0,2
1,34,1023,1307,0.0,0,0,2
1,35,1373,1222,0.0,0,0,2
1,36,1441,1408,0.0,0,0,2
1,37,684,1086,0.0,0,0,2
1,38,859,940,0.0,0,0,2
1,39,926,713,0.0,0,0,2
1,40,917,965,0.0,0,0,2
1,41,746,1199,0.0,0,0,2
1,42,1130,637,0.0,0,0,2
1,43,1218,1217,0.0,0,0,2
1,44,842,1174,0.0,0,0,2
1,45,1348,1446,0.0,0,0,2
1,46,1253,1166,0.0,0,0,2
1,47,436,257,0.0,0,0,2
1,48,1115,859,0.0,0,0,2
1,49,992,1055,0.0,0,0,2
1,50,1014,951,0.0,0,0,2
1,51,574,1073,0.0,0,0,2
1,52,1161,836,0.0,0,0,2
1,53,1068,559,0.0,0,0,2
1,54,829,660,0.0,0,0,2
1,55,938,1200,0.0,0,0,2
1,56,1170,929,0.0,0,0,2
1,57,850,961,0.0,0,0,2
1,58,610,1012,0.0,0,0,2
1,59,888,829,0.0,0,0,2
1,60,1389,564,0.0,0,0,2
1,61,1195,1055,0.0,0,0,2
1,62,1024,873,0.0,0,0,2
1,63,1238,978,0.0,0,0,2
1,64,1030,884,0.0,0,0,2
1,65,884,696,0.0,0,0,2
1,66,958,1067,0.0,0,0,2
1,67,1065,1069,0.0,0,0,2
1,68,1295,926,0.0,0,0,2
1,69,1374,1288,0.0,0,0,2
1,70,429,1128,0.0,0,0,2
1,71,1080,839,0.0,0,0,2
1,72,1093,1110,0.0,0,0,2
1,73,1192,1149,0.0,0,0,2
1,74,1123,1034,0.0,0,0,2
1,75,1016,1130,0.0,0,0,2
1,76,1393,1129,0.0,0,0,2
1,77,605,903,0.0,0,0,2
1,78,855,1104,0.0,0,0,2
1,79,893,637,0.0,0,0,2
1,80,829,438,0.0,0,0,2
1,81,1056,1448,0.0,0,0,2
1,82,1288,1158,0.0,0,0,2
1,83,1545,798,0.0,0,0,2
1,84,706,1067,0.0,0,0,2
1,85,860,813,0.0,0,0,2
1,86,1334,1215,0.0,0,0,2
1,87,1609,793,0.0,0,0,2
1,88,848,1275,0.0,0,0,2
1,89,366,912,0.0,0,0,2
1,90,1367,986,0.0,0,0,2
1,91,1440,794,0.0,0,0,2
1,92,1355,1313,0.0,0,0,2
1,93,1046,1250,0.0,0,0,2
1,94,1318,1134,0.0,0,0,2
1,95,1098,1248,0.0,0,0,2
1,96,1102,766,0.0,0,0,2
1,97,1620,760,0.0,0,0,2
1,98,990,912,0.0,0,0,2
1,99,612,800,0.0,0,0,2
1,100,1162,1226,0.0,0,0,2
1,101,1347,1291,0.0,0,0,2
1,102,1078,1099,0.0,0,0,2
1,103,1378,1031,0.0,0,0,2
1,104,1089,1138,0.0,0,0,2
1,105,1234,621,0.0,0,0,2
1,106,691,511,0.0,0,0,2
1,107,882,1016,0.0,0,0,2
1,108,1177,932,0.0,0,0,2
1,109,1020,1418,0.0,0,0,2
1,110,996,957,0.0,0,0,2
1,111,766,953,0.0,0,0,2
1,112,1429,1033,0.0,0,0,2
1,113,968,937,0.0,0,0,2
1,114,1040,933,0.0,0,0,2
1,115,957,1399,0.0,0,0,2
1,116,407,1466,0.0,0,0,2
1,117,1518,1343,0.0,0,0,2
1,118,802,768,0.0,0,0,2
1,119,1030,786,0.0,0,0,2
1,120,754,907,0.0,0,0,2
1,121,1067,627,0.0,0,0,3
1,122,1453,1217,0.0,0,0,3
1,123,768,1345,0.0,0,0,3
1,124,561,1016,0.0,0,0,3
1,125,990,981,0.0,0,0,3
1,126,1381,612,0.0,0,0,3
1,127,770,1186,0.0,0,0,3
1,128,1127,856,0.0,0,0,3
1,129,773,1207,0.0,0,0,3
1,130,718,1204,0.0,0,0,3
1,131,1103,1100,0.0,0,0,3
1,132,1673,506,0.0,0,0,3
1,133,901,1312,0.0,0,0,3
1,134,883,866,0.0,0,0,3
1,135,1037,1080,0.0,0,0,3
1,136,816,494,0.0,0,0,3
1,137,1131,1091,0.0,0,0,3
1,138,1124,992,0.0,0,0,3
1,139,995,738,0.0,0,0,3
1,140,911,946,0.0,0,0,3
1,141,619,1564,0.0,0,0,3
1,142,713,1091,0.0,1,0,3
1,143,670,865,0.0,0,0,3
1,144,814,1206,0.0,0,0,3
1,145,1010,627,0.0,0,0,3
1,146,785,1078,0.0,1,0,3
1,147,1091,1862,0.0,0,0,3
1,148,742,828,0.0,0,0,3
1,149,578,926,0.0,0,0,3
1,150,1156,1276,0.0,0,0,3
1,151,792,825,0.0,0,0,3
1,152,451,793,0.0,0,0,3
1,153,782,914,0.0,0,0,3
1,154,1084,1509,0.0,0,0,3
1,155,1642,1109,0.0,0,0,3
1,156,1187,975,0.0,0,0,3
1,157,770,1273,0.0,0,0,3
1,158,1135,481,0.0,0,0,3
1,159,857,739,0.0,0,0,3
1,160,1020,1317,0.0,0,0,3
1,161,1118,783,0.0,0,0,3
1,162,1345,1095,0.0,0,0,3
1,163,1193,1106,0.0,0,0,3
1,164,1193,676,0.0,0,0,3
1,165,1115,1357,0.0,0,0,3
1,166,1098,1069,0.0,0,0,3
1,167,715,944,0.0,0,0,3
1,168,360,1075,0.0,0,0,3
1,169,835,848,0.0,0,0,3
1,170,606,1020,0.0,0,0,3
1,171,969,910,0.0,0,0,3
1,172,1112,887,0.0,0,0,3
1,173,809,1256,0.0,0,0,3
1,174,1066,1383,0.0,0,0,3
1,175,1240,1210,0.0,0,0,3
1,176,854,1113,0.0,0,0,3
1,177,994,628,0.0,0,0,3
1,178,1353,1037,0.0,0,0,3
1,179,1379,1002,0.0,0,0,3
1,180,1307,547,0.0,0,0,3
1,181,1223,599,0.0,0,0,3
1,182,778,1082,0.0,1,0,3
1,183,1053,662,0.0,0,0,3
1,184,770,951,0.0,0,0,3
1,185,1171,1259,0.0,0,0,3
1,186,1137,880,0.0,0,0,3
1,187,1296,953,0.0,0,0,3
1,188,964,748,0.0,0,0,3
1,189,775,828,0.0,0,0,3
1,190,1043,1011,0.0,0,0,3
1,191,1172,843,0.0,0,0,3
1,192,1010,1223,0.0,0,0,3
1,193,1353,969,0.0,0,0,3
1,194,576,996,0.0,0,0,3
1,195,1066,693,0.0,0,0,3
1,196,1089,1043,0.0,0,0,3
1,197,847,1070,0.0,0,0,3
1,198,1017,216,0.0,0,0,3
1,199,1080,889,0.0,0,0,3
1,200,1189,733,0.0,0,0,3

