Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,1.4278347727153773,81,81.0%,49,49.0%,53,NaN,0,0.0,3.055354115936228,30,100.0,2.5561426896725443,19,0.0
2,1.5032006254419574,88,88.0%,52,52.0%,53,NaN,0,0.0,2.8101678380513575,31,100.0,3.300751370132749,21,100.0
3,1.450137139762242,88,88.0%,50,50.0%,53,NaN,0,0.0,2.7347851013130877,29,0.0,3.1485080468415756,21,100.0
4,1.6535772769465809,89,89.0%,52,52.0%,53,NaN,0,0.0,3.3837225611732364,31,100.0,3.1923025429730503,21,100.0
5,1.3783823342542738,89,89.0%,49,49.0%,53,NaN,0,0.0,2.8292395641151855,29,0.0,2.6480523250985923,20,100.0
6,1.3745092964213539,90,90.0%,52,52.0%,53,NaN,0,0.0,2.710474073659114,31,100.0,2.8068353716180967,21,100.0
7,1.549486690982904,90,90.0%,52,52.0%,53,NaN,0,0.0,3.16809136273811,31,100.0,2.995296410807354,21,100.0
8,1.4675363211859465,91,91.0%,51,51.0%,53,NaN,0,0.0,3.1210291263706442,31,100.0,2.656137916373764,20,100.0
9,1.4333820511281863,89,89.0%,51,51.0%,53,NaN,0,0.0,3.040368401334002,31,100.0,2.60635765363993,20,100.0
10,1.6286381179212646,93,93.0%,52,52.0%,53,NaN,0,0.0,3.3026833168905365,31,100.0,3.189165614270519,21,100.0
