Iteration,Passenger_ID,X,Y,Utility,Neighbours,Interest
80,1,475,637,0.0,0,0,1
80,2,779,573,0.0,0,0,1
80,3,776,449,0.0,0,0,1
80,4,677,603,0.0,0,0,1
80,5,517,365,0.0,1,0,1
80,6,509,449,0.0,1,0,2
80,7,644,788,0.0,0,0,2
80,8,222,378,0.0,0,0,2
80,9,487,269,0.0,0,0,2
80,10,437,376,0.0,1,0,2
80,11,333,449,0.0,0,0,2
80,12,553,490,0.0,1,0,2
80,13,397,698,0.0,0,0,2
80,14,298,728,0.0,0,0,2
80,15,723,458,0.0,0,0,2
80,16,693,586,0.0,0,0,2
80,17,292,633,0.0,0,0,2
80,18,593,425,0.0,1,0,2
80,19,355,319,0.0,0,0,2
80,20,326,590,0.0,0,0,2
80,21,468,608,0.0,0,0,2
80,22,602,697,0.0,0,0,2
80,23,561,660,0.0,0,0,2
80,24,459,408,0.0,1,0,2
80,25,531,613,0.0,0,0,2
80,26,349,384,0.0,0,0,2
80,27,470,647,0.0,0,0,2
80,28,518,374,0.0,1,0,2
80,29,409,478,0.0,0,0,2
80,30,552,458,0.0,1,0,2
80,31,571,559,0.0,0,0,3
80,32,490,719,0.0,0,0,3
80,33,507,531,0.0,0,0,3
80,34,757,472,0.0,1,0,3
80,35,460,638,0.0,0,0,3
80,36,336,492,0.0,0,0,3
80,37,490,585,0.0,0,0,3
80,38,616,518,0.0,0,0,3
80,39,668,736,0.0,0,0,3
80,40,622,463,0.0,1,0,3
80,41,510,533,0.0,0,0,3
80,42,299,463,0.0,0,0,3
80,43,538,566,0.0,0,0,3
80,44,637,449,0.0,1,0,3
80,45,636,511,0.0,1,0,3
80,46,414,454,0.0,0,0,3
80,47,492,428,0.0,0,0,3
80,48,579,504,0.0,0,0,3
80,49,348,613,0.0,0,0,3
80,50,555,760,0.0,0,0,3

