Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,0.18543753810456223,11,11.0%,7,7.000000000000001%,13,NaN,0,0.0,3.0906256350760373,7,100.0,0.0,0,0.0
2,0.04589045433524537,6,6.0%,4,4.0%,12,NaN,0,0.0,0.7648409055874228,4,0.0,0.0,0,0.0
3,0.13213802655362175,9,9.0%,6,6.0%,10,NaN,0,0.0,2.6427605310724354,6,100.0,0.0,0,0.0
4,0.17528631137771872,11,11.0%,6,6.0%,9,NaN,0,0.0,3.505726227554374,6,100.0,0.0,0,0.0
5,0.18399940420478167,5,5.0%,5,5.0%,8,NaN,0,0.0,3.6799880840956334,5,100.0,NaN,0,0.0
6,0.1519449309245424,6,6.0%,5,5.0%,8,NaN,0,0.0,3.038898618490848,5,100.0,NaN,0,0.0
7,0.1023187289802593,4,4.0%,4,4.0%,8,NaN,0,0.0,2.046374579605186,4,0.0,NaN,0,0.0
8,0.09894771645681502,3,3.0%,3,3.0%,8,NaN,0,0.0,1.9789543291363003,3,0.0,NaN,0,0.0
9,0.0712101743711512,2,2.0%,2,2.0%,7,NaN,0,0.0,1.7802543592787798,2,0.0,NaN,0,0.0
10,0.04568125167964885,2,2.0%,2,2.0%,6,NaN,0,0.0,1.5227083893216282,2,0.0,NaN,0,0.0
