Iteration,Cheesecake,Profiterole,Mudcake
1,0,10,6
2,0,10,7
3,0,10,7
4,0,10,4
5,0,9,6
6,0,9,6
7,0,6,4
8,0,8,2
9,0,8,1
10,0,7,1
