Iteration,Passengers' mean utility,Vehicles' mean utility,% Interested passengers,% Matched passengers,% Matched Vehicles,Interested passengers,Matched passengers,Matched Vehicles,Total Vehicles
1,0.0,[D@66596a88,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
2,0.0,[D@5aae8eb5,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
3,0.0,[D@76954a33,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
4,0.0,[D@24a298a6,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
5,0.0,[D@982bb90,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
6,0.0,[D@27f74733,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
7,0.0,[D@7bef452c,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
8,0.0,[D@4bb8855f,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
9,0.0,[D@57fae983,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
10,0.0,[D@4a29f290,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
11,0.0,[D@4bee18dc,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
12,0.0,[D@44f3fe83,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
13,0.0,[D@44c5a16f,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
14,0.0,[D@417d6615,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
15,0.0,[D@7a6ebe1e,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
16,0.0,[D@21325036,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
17,0.0,[D@489543a6,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
18,0.0,[D@6272c96f,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
19,0.0,[D@6de30571,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
20,0.0,[D@5ee34b1b,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
21,0.0,[D@3c89bb12,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
22,0.0,[D@48c4245d,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
23,0.0,[D@3df978b9,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
