Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,0.33246512546484314,37,37.0%,13,13.0%,18,NaN,0,0.0,2.6951651228884956,10,100.0,1.4983377400813076,3,0.0
2,0.2944260083801783,27,27.0%,12,12.0%,17,NaN,0,0.0,2.21285235068901,9,100.0,1.9053859363633463,3,0.0
3,0.33283809868160913,26,26.0%,13,13.0%,16,NaN,0,0.0,2.8099591479907744,10,100.0,1.9985443840609871,3,0.0
4,0.2965245944785806,28,28.000000000000004%,11,11.0%,15,NaN,0,0.0,3.0297783853789717,9,100.0,0.7948179931491047,2,0.0
5,0.21726854970737075,21,21.0%,11,11.0%,14,NaN,0,0.0,2.197439714225841,10,100.0,0.974948771352254,1,0.0
6,0.29613427580701623,37,37.0%,10,10.0%,13,NaN,0,0.0,3.2903808423001806,10,100.0,0.0,0,0.0
7,0.24251853669390358,37,37.0%,10,10.0%,12,NaN,0,0.0,2.6946504077100397,10,100.0,NaN,0,0.0
8,0.19626113236356293,25,25.0%,10,10.0%,12,NaN,0,0.0,2.1806792484840325,10,100.0,NaN,0,0.0
9,0.11713489202726474,18,18.0%,7,7.000000000000001%,12,NaN,0,0.0,1.3014988003029415,7,0.0,NaN,0,0.0
10,0.23309894824946284,31,31.0%,9,9.0%,11,NaN,0,0.0,2.9137368531182855,9,100.0,NaN,0,0.0
