Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,0.318078716400602,20,20.0%,11,11.0%,19,NaN,0,0.0,2.9077921198990575,10,100.0,0.45499174017827054,1,0.0
2,0.3343300432521927,38,38.0%,12,12.0%,18,NaN,0,0.0,3.129765962734551,11,100.0,0.4270689395747514,1,0.0
3,0.29637873584132185,27,27.0%,12,12.0%,17,NaN,0,0.0,2.7656358303324913,11,100.0,0.4953788202018181,1,0.0
4,0.348517813138341,32,32.0%,11,11.0%,16,NaN,0,0.0,3.4851781313834103,11,100.0,0.0,0,0.0
5,0.26788996730517534,31,31.0%,11,11.0%,15,NaN,0,0.0,2.6788996730517534,11,100.0,0.0,0,0.0
6,0.24199647367681076,31,31.0%,11,11.0%,14,NaN,0,0.0,2.4199647367681076,11,100.0,0.0,0,0.0
7,0.29134541311129863,34,34.0%,11,11.0%,13,NaN,0,0.0,2.9134541311129865,11,100.0,NaN,0,0.0
8,0.2723993075068186,36,36.0%,11,11.0%,13,NaN,0,0.0,2.723993075068186,11,100.0,NaN,0,0.0
9,0.2097754687428628,24,24.0%,10,10.0%,13,NaN,0,0.0,2.097754687428628,10,100.0,NaN,0,0.0
10,0.3028313367277586,39,39.0%,11,11.0%,13,NaN,0,0.0,3.028313367277586,11,100.0,NaN,0,0.0
